Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
301774903545521,Brasil Paralelo,Brasil Paralelo,2134607,7510
250792278286894,Simone Tebet,MOVIMENTO DEMOCRÁTICO BRASILEIRO,491596,62
106558185227603,BP Select,Brasil Paralelo Entretenimento e Educação S/A,404418,1032
159103797542,Greenpeace Brasil,Greenpeace Brasil,246796,326
411754008869486,Aécio Neves,Aécio Neves,184352,62
104670654749732,Núcleo de Formação,Brasil Paralelo Entretenimento e Educação S/A,133738,519
251235795032635,Itamar Borges,Itamar Borges,110956,909
861136243903258,Miguel Coelho,Miguel Leao Coelho,107250,581
185500178231142,Governo do Maranhão,Governo do Estado do Maranhão,106326,158
314916388685112,Deputado Val Ceasa,Roosevelt Barcelos,99185,154
188272077957844,Ranking dos Políticos,Associação Voto Real,94352,99
143803862450980,Célio Studart,Célio Studart Barbosa,93224,310
415205108523289,Rodrigo Garcia,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,90945,132
263563620333111,Senador Eduardo Braga,Carlos Braga,84868,163
105821366170914,PT - Partido dos Trabalhadores,Partido dos Trabalhadores,76169,12
416907625028840,Governo do Estado de Minas Gerais,Governo de Minas Gerais,75567,122
107249614189719,Facio - Bem-estar financeiro,Facio Pagamentos Ltda,71560,69
104738421003389,InvestNews BR,Easynvest,69863,92
316828035004008,Tribunal Superior Eleitoral (TSE),Tribunal Superior Eleitoral,57999,29
113507215403008,Câmara Municipal de São Paulo,Câmara Municipal de São Paulo,52860,19
100514315816180,FaceDance: Photo Animator App,These ads ran without a disclaimer,51097,5
1635492076680391,Felipe Rigoni,COMISSAO DA EXECUTIVA MUNICIPAL DO PARTIDO SOCIAL LIBERAL,50000,591
107582518540889,Jessica Oliveira,Talita Eduarda Freitag,49626,99
125627324199011,Prefeitura De Ribeirão Preto,Prefeitura de Ribeirão Preto,48684,116
197587446941661,Valor Econômico,Editora Globo,45911,584
113165042099382,Brasil 61,Brasil 61,45000,148
1211366248899077,Prefeitura de Duque de Caxias,Prefeitura de Duque de Caxias,44825,423
106869981440689,Brasil Certo,BRASIL CERTO,44063,164
287680017998870,Focus Concursos Públicos,Fabiano Oliveira,43806,124
1449387248698770,Genial Investimentos,Genial Investimentos,43107,9
109597815616,VEJA,Veja,42501,134
111907194600493,Contrabando Rouba Nosso Futuro,Fórum Nacional Contra a Pirataria e a Ilegalidade - FNCP,42410,37
157912844276400,Governo da Bahia,SECRETARIA DE COMUNICACAO SOCIAL - SECOM,40785,43
1405025743082214,Coronel Alberto Feitosa,Alberto Jorge Feitosa,40337,742
2031750160222530,Além da Superfície,INSTITUTO BRASILEIRO DE PETROLEO E GAS,38622,8
164188247072662,Mídia NINJA,Mídia NINJA,38529,62
112021296931600,Mônica Lopes,IBPOM,38292,433
100704899231458,Andressa Linhares,Vera Elaine Dos Reis,37686,178
485434228470137,Tenente Coimbra,Deputado Estadual Tenente Coimbra,36491,68
491007197579019,Carlos Brandão,Carlos Brandão,35569,87
214665511883192,Aldeias Infantis SOS Brasil,Aldeias Infantis SOS,35132,74
111974548148075,Rafaela Garcia,Jakson Dos Santos Da Silva,34595,224
167301056811245,Detran/RS,DetranRS,34314,69
173698339802515,Rafael Brito,Rafael Brito,34302,84
108143861587898,Maurício Neves,Manoel Neves,34201,143
136344939876101,Gleisi Hoffmann,GLEISI HELENA HOFFMANN,33076,575
774149596097732,Eduardo Riedel,Eduardo Corrêa Riedel,32990,169
112659180432045,Girl Up Brasil,Leticia Puech Bahia Diniz,32740,9
92227023652,Governo do Estado de São Paulo,Governo do Estado de São Paulo,32674,4
107624341759744,Eleição Exponencial,Revitto,32165,922
179766322036178,Ratinho Junior,Carlos Massa Junior,31518,165
1594613884123934,IDIB,INSTITUTO DE DESENVOLVIMENTO INSTITUCIONAL BRASILEIRO - IDIB,28520,77
1267721316595151,Ronaldo Dimas,RONALDO DIMAS,28389,186
100162112686423,Jessica Rodrigues,Sales,28273,88
176740279057602,CDL De Belo Horizonte,CAMARA DE DIRIGENTES LOJISTAS DE BELO HORIZONTE,27678,333
2209636419286152,Elismar Prado,Elismar Prado,27438,26
128416167198648,Marcelo Freixo,PSB - RJ,26601,130
615600128536767,Prefeitura de Sobral,Outcome Digital Strategy,26098,68
178642596183471,Avanti CNH,These ads ran without a disclaimer,25350,9
458048987893303,Delegado Palumbo,Delegado Palumbo,25146,45
102609049036843,Karina Valdez,Jakson Dos Santos Da Silva,24982,106
115931765148387,Assembleia Legislativa de Minas Gerais,Assembleia Legislativa Do Estado De Minas Gerais,24890,32
193719533998484,Fundação Fernando Henrique Cardoso,Fundação Fernando Henrique Cardoso,24428,58
1738245342858207,Loester Trutis,Loester Souza,24426,161
159103797542,Greenpeace Brasil,These ads ran without a disclaimer,24358,19
124632230915020,Luciana Genro,Luciana Krebs Genro,23751,101
239665829565195,Cidade de São Paulo,Prefeitura de SP,23425,33
111498314691810,Lucas Bove,Lucas Bove,23208,18
109674071272333,Geraldo Mendes,GERALDO GABRIEL MENDES,23059,177
332081570559630,Bruno Ganem S.P.,Bruno Ganem,22921,70
142073912632259,Carlos Giannazi,Deputado Carlos Giannazi,22771,54
137565706408514,Prefeitura de Franca,Prefeitura Municipal de Franca,22553,64
334514343302606,Governo do Estado do Rio Grande do Norte,PUZZLE ADS,22373,28
282802611759257,MidiaJur,Midiajur,22325,172
605513226156729,Educação Alagoas,Secretaria de Estado da Educação de Alagoas,22000,14
107811567351634,Ser Aprovado,These ads ran without a disclaimer,21531,9
110527647364719,Amolivro,These ads ran without a disclaimer,21410,2
223382044339765,Lindbergh Farias,LUIZ LINDBERGH FARIAS FILHO,21170,337
419228248099705,Oassessor.com,O Assessor Serviços em Tecnologia da Informação Ltda,20863,189
187970114581051,Anistia Internacional Brasil,Anistia Internacional Brasil,20724,75
1501236886772782,Wellington Fagundes,Wellington Antonio Fagundes,20604,148
1498647100170828,Prefeitos do Futuro,Prefeitos do Futuro Cursos e Treinamentos LTDA,20361,204
128802790469337,Todos Pela Educação,Todos Pela Educação,20339,39
324809904525350,Dr. Edson da Paiol,Edson Rodrigues,19945,144
461990540812267,Luiz Antônio Corrêa,Luiz Antônio da Costa Carvalho Corrêa da Silva,19856,71
297853750374882,Danilo Cabral,PSB Pernambuco - Diretorio Estadual do Partido Socialista Brasileiro,19513,312
242919576048970,Rafael Parente,Rafael De Parente,19354,226
360282804039745,Reinaldo Azambuja,Reinaldo Azambuja Silva,19127,247
145608108896911,Frente Parlamentar da Agropecuária - FPA,Instituto Pensar Agropecuária,18991,96
