Page ID,Page name,Disclaimer,Amount spent (BRL)
280207712721855,Mara Rocha,Mara Rocha,7578
301774903545521,Brasil Paralelo,Brasil Paralelo,6571
555803774486872,Marcio Bittar,Marcio Bittar,3819
482479095211782,Dr. Jenilson Leite,Janilson Leite,3462
161197557282987,Perpétua Almeida,Maria Perpétua de Almeida,2138
250792278286894,Simone Tebet,MOVIMENTO DEMOCRÁTICO BRASILEIRO,1501
1739754689668110,Dep. Estadual Luiz Gonzaga,Luiz Gonzaga Alves Filho,1207
106558185227603,BP Select,Brasil Paralelo Entretenimento e Educação S/A,1164
116935057584028,Flaviano Melo.,Flaviano Melo,1035
104375392268634,José Adriano,Jose Adriano Ribeiro Da Silva,575
104670654749732,Núcleo de Formação,Brasil Paralelo Entretenimento e Educação S/A,505
238056466741532,Mailza Gomes,Mailza Assis da Silva,500
107820885231261,Freitas Assessoria de Crédito,These ads ran without a disclaimer,380
188272077957844,Ranking dos Políticos,Associação Voto Real,334
159103797542,Greenpeace Brasil,Greenpeace Brasil,317
411754008869486,Aécio Neves,Aécio Neves,316
107811567351634,Ser Aprovado,These ads ran without a disclaimer,303
316828035004008,Tribunal Superior Eleitoral (TSE),Tribunal Superior Eleitoral,298
107582518540889,Jessica Oliveira,Talita Eduarda Freitag,273
104738421003389,InvestNews BR,Easynvest,272
287680017998870,Focus Concursos Públicos,Fabiano Oliveira,269
418591908199129,Leo de Brito,Leonardo Cunha De Brito,265
105821366170914,PT - Partido dos Trabalhadores,Partido dos Trabalhadores,244
197587446941661,Valor Econômico,Editora Globo,216
106869981440689,Brasil Certo,BRASIL CERTO,207
100704899231458,Andressa Linhares,Vera Elaine Dos Reis,198
107249614189719,Facio - Bem-estar financeiro,Facio Pagamentos Ltda,183
1835707786710938,Pedro Luis Longo,Pedro Longo,179
107624341759744,Eleição Exponencial,Revitto,176
193719533998484,Fundação Fernando Henrique Cardoso,Fundação Fernando Henrique Cardoso,161
113165042099382,Brasil 61,Brasil 61,152
106320008736108,Jorge Lucas,Ezequias Santos,150
1449387248698770,Genial Investimentos,Genial Investimentos,150
112021296931600,Mônica Lopes,IBPOM,142
109597815616,VEJA,Veja,141
111974548148075,Rafaela Garcia,Jakson Dos Santos Da Silva,141
102609049036843,Karina Valdez,Jakson Dos Santos Da Silva,138
2031750160222530,Além da Superfície,INSTITUTO BRASILEIRO DE PETROLEO E GAS,137
164188247072662,Mídia NINJA,Mídia NINJA,135
112659180432045,Girl Up Brasil,Leticia Puech Bahia Diniz,127
419228248099705,Oassessor.com,O Assessor Serviços em Tecnologia da Informação Ltda,125
1890345097703791,David Hall,David Hall,123
781464141871698,Sindmed-AC,Sindicato dos Médicos do Acre - Sindmed-AC,122
272631539824027,Marcia Bittar,These ads ran without a disclaimer,121
1504580766531518,Mulheres Progressistas,PROGRESSISTAS - BRASIL - BR - NACIONAL,117
436655656434516,Zênite Informação,Zênite Informação e Consultoria,113
110749511570188,Pedro Longo Juruá,Marcio Lima,113
100162112686423,Jessica Rodrigues,Sales,112
203087968415274,Matheus Silva,These ads ran without a disclaimer,108
128802790469337,Todos Pela Educação,Todos Pela Educação,105
282802611759257,MidiaJur,Midiajur,101
508936382955296,Pedro Valério,Pedro Valerio De Araujo,≤100
1556899247961433,Arnaldo Barros,Tatiane Barros,≤100
214665511883192,Aldeias Infantis SOS Brasil,Aldeias Infantis SOS,≤100
163893463708223,Marcelo Vitorino,Vitorino & Mendonça,≤100
1703010579956133,Eleições 2022 - Cursos Online,Curso Eleitoral,≤100
103609098277202,Pra Ser Justo,Endeavor Brasil,≤100
1931965243746616,Professora Rita Gonçalves,Inovart Cursos e Treinamentos,≤100
285083994905681,MDB Mulher Nacional,MOVIMENTO DEMOCRATICO BRASILEIRO BRASIL BR NACIONAL,≤100
203326359677581,PCdoB - Partido Comunista do Brasil,PCdoB,≤100
379286655517152,Banco PAN,These ads ran without a disclaimer,≤100
325279817665853,Deonizia Kiratch,These ads ran without a disclaimer,≤100
110393578218545,Saldão Nome Limpo,Adriele Silva,≤100
347742876973,ADPF - Associação Nacional dos Delegados de Polícia Federal,Associação Nacional dos Delegados de Polícia Federal,≤100
725040437528360,Major Rocha,Wherles Rocha,≤100
144112092312277,João Doria,Partido da Social Democracia Brasileira,≤100
191946971536216,Ismael Crispin,Deputado Estadual Ismael Crispin,≤100
393146494199398,Jéssica Sales,These ads ran without a disclaimer,≤100
1894520370802455,Governo do Brasil,These ads ran without a disclaimer,≤100
145608108896911,Frente Parlamentar da Agropecuária - FPA,Instituto Pensar Agropecuária,≤100
185875761943,MDB Nacional,MOVIMENTO DEMOCRÁTICO BRASILEIRO,≤100
118678938210868,SIMPI,Simpi,≤100
109789152161,Sou da Paz,Instituto Sou da Paz,≤100
131497886977001,Associação Paulista de Medicina,Associação Paulista de Medicina,≤100
107652611821495,Laju Produtos de Limpeza,These ads ran without a disclaimer,≤100
280413655431834,AMB - Associação Médica Brasileira,Associação Médica Brasileira,≤100
201878973201295,Republicanos10,Republicanos10,≤100
173776816159515,Julio Lopes,Julio Lopes,≤100
115230991849922,O Globo,Editora Globo,≤100
2544666325578449,Eleja.se,Eleja.se,≤100
100762890036761,Manhanelli Associados,CONSULTA INTELIGENCIA LTDA,≤100
453401278092959,Aprovação PGE,These ads ran without a disclaimer,≤100
187970114581051,Anistia Internacional Brasil,Anistia Internacional Brasil,≤100
485172928255479,Extra Classe,Gilson Verani Freitas De Camargo,≤100
1498647100170828,Prefeitos do Futuro,Prefeitos do Futuro Cursos e Treinamentos LTDA,≤100
977607505682751,CP Iuris,These ads ran without a disclaimer,≤100
104256551950166,Portal Política,PORTAL POLITICA COMUNICAÇÃO,≤100
107933945163729,Jessica Kuhn,Maira Darlene Dutra De Oliveira,≤100
159103797542,Greenpeace Brasil,These ads ran without a disclaimer,≤100
426083354260570,Anahp,ANAHP- Associação Nacional de Hospitais Privados,≤100
334578206706404,Laerte Gomes,Laerte Gomes,≤100
360125334431298,Renova BR,ASSOCIAÇÃO RENOVA BR,≤100
665498620499336,"O Novo Legislativo, por Renata Cunha",Instituto Renata Cunha,≤100
303981736949468,Jingle Vinheta,Paulo Magalhaes,≤100
844549288949778,IBPAD - Instituto Brasileiro de Pesquisa e Análise de Dados,IBPAD - INSTITUTO BRASILEIRO DE PESQUISA E ANALISE DE DADOS LTDA - ME,≤100
109055221354055,Esfera Brasil,ESFERA ᴮᴿ,≤100
129125850959364,Daniel José,Daniel Jose Da Silva Oliveira,≤100
705258666182109,Roberto Duarte,These ads ran without a disclaimer,≤100
109045897584974,Concurseiros da Educação 2022,These ads ran without a disclaimer,≤100
2086279788271073,Osmar Bria,Fhillip Pinheiro,≤100
115091970282973,InfluênciaPolítica,Influência Política,≤100
175330465818911,Ministério da Saúde,These ads ran without a disclaimer,≤100
106493417547936,Natália Mendonça,Vitorino & Mendonça,≤100
