Page ID,Page name,Disclaimer,Amount spent (BRL)
301774903545521,Brasil Paralelo,Brasil Paralelo,85676
157912844276400,Governo da Bahia,SECRETARIA DE COMUNICACAO SOCIAL - SECOM,39871
250792278286894,Simone Tebet,MOVIMENTO DEMOCRÁTICO BRASILEIRO,22057
1586855658234978,Detran Bahia,These ads ran without a disclaimer,17425
106558185227603,BP Select,Brasil Paralelo Entretenimento e Educação S/A,16307
237824856416624,Eduardo Salles,Eduardo Salles,13695
159103797542,Greenpeace Brasil,Greenpeace Brasil,13266
323321181084151,Saúde Bahia - Sesab,These ads ran without a disclaimer,9128
976096509238821,Talita Oliveira,Talita Santos De Oliveira,8770
366998400031953,ACM Neto,DEMOCRATAS DIRETÓRIO NACIONAL,8398
448830491818835,Alex Da Piatã,Alex Lopes Da Silva,7232
182917691817521,Marta Rodrigues,Marta Rodrigues Sousa de Brito Costa,7137
411754008869486,Aécio Neves,Aécio Neves,6866
106702797785551,Alipinho,Alipio Alves De Oliveira Junior,6531
492242434209344,Robinson Almeida,Robinson Almeida,6187
101151815885813,Ceuci Nunes,Ceuci Nunes,5625
746238952182619,Val de Alex,Alex Lopes Da Silva,5128
104670654749732,Núcleo de Formação,Brasil Paralelo Entretenimento e Educação S/A,4999
959825824052678,Ricardo Rodrigues,Jose Ricardo Rodrigues Barbosa,4994
105821366170914,PT - Partido dos Trabalhadores,Partido dos Trabalhadores,4902
405696379766191,Angelo Coronel,Angelo Mario Coronel De Azevedo Martins,4539
287680017998870,Focus Concursos Públicos,Fabiano Oliveira,4368
1562095984001956,Fábio Vilas-Boas,Fabio Vilas Boas,4311
316828035004008,Tribunal Superior Eleitoral (TSE),Tribunal Superior Eleitoral,4107
114073650505247,Jerônimo Rodrigues,Partido dos Trabalhadores,3990
188272077957844,Ranking dos Políticos,Associação Voto Real,3741
405696379766191,Angelo Coronel,ANGELO MAR1 CORONEL DE AZEVED0 MARTINS,3533
281229865369097,Otto Alencar,Partido Social Democrático – PSD,3448
1351285281650851,Zé Cocá,Zenildo Santana,3432
576915275660515,Paulo Câmara,Paulo Sérgio de Sá Bittencourt Câmara,3114
118924838278485,Osni Cardoso,Osni Cardoso De Araujo,3084
1449387248698770,Genial Investimentos,Genial Investimentos,3072
197587446941661,Valor Econômico,Editora Globo,3028
107249614189719,Facio - Bem-estar financeiro,Facio Pagamentos Ltda,2956
451370971560727,Tito,Grimaldo Santos Da Silva,2934
2031750160222530,Além da Superfície,INSTITUTO BRASILEIRO DE PETROLEO E GAS,2837
112021296931600,Mônica Lopes,IBPOM,2813
107624341759744,Eleição Exponencial,Revitto,2738
104738421003389,InvestNews BR,Easynvest,2738
357063848660564,Eleições 2022 Bahia,Kevin Lopes Bastos,2654
225952937806198,Angelo Almeida,Angelo Cerqueira De Almeida,2629
113165042099382,Brasil 61,Brasil 61,2515
112659180432045,Girl Up Brasil,Leticia Puech Bahia Diniz,2441
653716951478918,João Roma,João Roma Neto,2339
308132539372437,Ivan Cordeiro,Ivan Cordeiro Da Silva Filho,2337
800887096597818,Jorge Solla,Jorge Solla,2304
100273016728909,Ministério Público do Estado da Bahia,Forrest,2211
164188247072662,Mídia NINJA,Mídia NINJA,2184
136224023082363,Jaques Wagner,PT BAHIA,2142
691899611250247,Ivoneide Caetano,Ivoneide Souza Caetano,2115
107582518540889,Jessica Oliveira,Talita Eduarda Freitag,2067
596284267074571,Davidson Magalhães,Davidson de magalhães SANTOS,2035
109597815616,VEJA,Veja,1999
193719533998484,Fundação Fernando Henrique Cardoso,Fundação Fernando Henrique Cardoso,1920
361989510562789,Zé Neto,Zé Neto,1917
419228248099705,Oassessor.com,O Assessor Serviços em Tecnologia da Informação Ltda,1841
302075393510786,Professora Dayane Pimentel,Dayane Jamille Carneiro Dos Santos Pimentel,1738
124105061336574,Roland Lavigne,Roland Nascimento,1713
214665511883192,Aldeias Infantis SOS Brasil,Aldeias Infantis SOS,1712
100704899231458,Andressa Linhares,Vera Elaine Dos Reis,1624
206095982850228,Maria del Carmen,Maria Puga,1577
260243837420336,Sindipetro Bahia,SINDICATO DOS PETROLEIROS DO ESTADO DA BAHIA - SINDIPETRO-BAHIA,1469
746572915467655,Junior Muniz,Denivaldo Junior,1420
106869981440689,Brasil Certo,BRASIL CERTO,1404
128802790469337,Todos Pela Educação,Todos Pela Educação,1392
101328235485196,Reforma Administrativa: destrói os serviços públicos,Reforma que destrói,1330
1449811198603395,Marcelino Galo,Marcelino Antonio Martins Galo,1318
159103797542,Greenpeace Brasil,These ads ran without a disclaimer,1294
1982996441981290,Prefeitura Jaguaripe,Prefeitura de Jaguaripe,1289
111974548148075,Rafaela Garcia,Jakson Dos Santos Da Silva,1255
203087968415274,Matheus Silva,These ads ran without a disclaimer,1246
187970114581051,Anistia Internacional Brasil,Anistia Internacional Brasil,1227
1498647100170828,Prefeitos do Futuro,Prefeitos do Futuro Cursos e Treinamentos LTDA,1202
156035781157686,Ação Educativa,Ação Educativa,1199
1514287338901334,Alexandre Aleluia,Alexandre Aleluia Dantas Da Costa,1186
154745847946903,Jornal da Chapada,Jornal da Chapada,1152
102859178797410,Ludmilla Fiscina,Ludmilla Fonseca Fiscina,1116
203326359677581,PCdoB - Partido Comunista do Brasil,PCdoB,1109
426083354260570,Anahp,ANAHP- Associação Nacional de Hospitais Privados,1056
102609049036843,Karina Valdez,Jakson Dos Santos Da Silva,1030
642519585761623,Hilton Coelho,Hilton de Barros Coelho,1024
436655656434516,Zênite Informação,Zênite Informação e Consultoria,1014
324961467599874,Danilo Henrique,Danilo Henrique Sampaio Moreira,1007
109560004010330,Marcus Sarmento,PREFEITO MARCUS SARMENTO,1000
1643608162628238,Augusto Vasconcelos,Augusto Vasconcelos,999
131497886977001,Associação Paulista de Medicina,Associação Paulista de Medicina,977
104157151228447,Capitão Alden,Alden Silva,927
379286655517152,Banco PAN,These ads ran without a disclaimer,914
100162112686423,Jessica Rodrigues,Sales,896
110779533634995,Salve Seus Dados,Associação Nacional dos Empregados da Dataprev,896
1931965243746616,Professora Rita Gonçalves,Inovart Cursos e Treinamentos,872
163893463708223,Marcelo Vitorino,Vitorino & Mendonça,861
187816627926899,APUB,APUB,861
118678938210868,SIMPI,Simpi,859
642175482545340,Bobô,Raimundo Nonato Tavares Da Silva,846
1894520370802455,Governo do Brasil,These ads ran without a disclaimer,840
471715223024151,Instituto Liberdade e Cidadania,Instituto Liberdade e Cidadania,839
179383079411109,Heckel Pedreira,Heckel Pedreira,827
138040579630081,Pr. Abílio Santana(pregações),Vania Silva,821
1703010579956133,Eleições 2022 - Cursos Online,Curso Eleitoral,820
360125334431298,Renova BR,ASSOCIAÇÃO RENOVA BR,814
285083994905681,MDB Mulher Nacional,MOVIMENTO DEMOCRATICO BRASILEIRO BRASIL BR NACIONAL,787
109055221354055,Esfera Brasil,ESFERA ᴮᴿ,787
347742876973,ADPF - Associação Nacional dos Delegados de Polícia Federal,Associação Nacional dos Delegados de Polícia Federal,770
129125850959364,Daniel José,Daniel Jose Da Silva Oliveira,767
533276736728690,Waldenor Pereira,Waldenor Alves Pereira Filho,752
220346131312219,Ministério Público do Trabalho,MINISTERIO PUBLICO DO TRABALHO,749
280413655431834,AMB - Associação Médica Brasileira,Associação Médica Brasileira,743
282802611759257,MidiaJur,Midiajur,741
201878973201295,Republicanos10,Republicanos10,741
685513868129236,Arnoldo Simões,Arnoldo Simões,739
145608108896911,Frente Parlamentar da Agropecuária - FPA,Instituto Pensar Agropecuária,737
2544666325578449,Eleja.se,Eleja.se,737
844549288949778,IBPAD - Instituto Brasileiro de Pesquisa e Análise de Dados,IBPAD - INSTITUTO BRASILEIRO DE PESQUISA E ANALISE DE DADOS LTDA - ME,681
110393578218545,Saldão Nome Limpo,Adriele Silva,654
731837540190829,Jacó,Mario Augusto De Almeida Neto,650
112027708065684,Marcelo Cestari,MARCELO MARTINS CESTARI,617
106308415121143,Politique - Detalhamento de Votos,Tiago Cabral,612
173776816159515,Julio Lopes,Julio Lopes,604
866607636724201,Lapa Capital,Alex Raffaelli Ferreira Guedes,596
115230991849922,O Globo,Editora Globo,592
485172928255479,Extra Classe,Gilson Verani Freitas De Camargo,586
1626742084138856,Leandro De Jesus,Leandro Jesus,581
100406519262763,Olha o Barulhinho,Associação Comunicação em Rede,576
