Page ID,Page name,Disclaimer,Amount spent (BRL)
301774903545521,Brasil Paralelo,Brasil Paralelo,142733
136344939876101,Gleisi Hoffmann,GLEISI HELENA HOFFMANN,33072
179766322036178,Ratinho Junior,Carlos Massa Junior,31509
106558185227603,BP Select,Brasil Paralelo Entretenimento e Educação S/A,26807
109674071272333,Geraldo Mendes,GERALDO GABRIEL MENDES,22574
250792278286894,Simone Tebet,MOVIMENTO DEMOCRÁTICO BRASILEIRO,20211
128327663956877,Ney Leprevost,Ney Leprevost Neto,18641
463747030352469,Guto Silva,Luiz Silva,13574
214730151901124,Gustavo Fruet,Gustavo Fruet,12496
295831333862162,Beto Preto,Beto Preto,12317
159103797542,Greenpeace Brasil,Greenpeace Brasil,11333
339606729398017,Roberto Requião,Roberto Requiao De Mello E Silva,9772
104670654749732,Núcleo de Formação,Brasil Paralelo Entretenimento e Educação S/A,9686
533495260042236,Sérgio Souza,Sérgio Souza,9503
220778897969256,Zeca Dirceu,Jose Carlos Becker De Oliveira E Silva,8124
549765801726215,Rubens Bueno,Rubens Bueno,7665
471671089570830,Luiz Carlos Martins - Oi Oi,Luiz Carlos Martins,7030
104738421003389,InvestNews BR,Easynvest,6901
196497324404921,Deputado Boca Aberta,Marly Ribeiro,6869
352566814808427,Luizão Goulart,Luiz Goularte Alves,6763
409540602424777,Luciano Ducci,LUCIANO DUCCI,6571
105778371255007,Adriano Mühlstedt,Adriano Marcus Muhlstedt,6309
337249363028693,Cesar Silvestri Filho,Cesar Silvestri,6305
411754008869486,Aécio Neves,Aécio Neves,6125
188272077957844,Ranking dos Políticos,Associação Voto Real,6120
356204831077731,Prefeitura de Francisco Beltrão,Maykon Justiniano,5850
1452122665041934,Maria Victoria,Maria Victoria Borghetti Barros Campos,5846
1476457915903577,Dr. Batista,Manoel Batista Silva Junior,5769
1453730484882193,Arilson Chiorato,Arilson Maroldi Chiorato,5468
314213892042373,Diego Garcia,Diego Garcia,5255
325260710902101,Ademar Traiano,Ademar Traiano,5000
380460338716108,Prefeitura de Araucária,Trade Comunicação e Marketing Eireli,4832
105821366170914,PT - Partido dos Trabalhadores,Partido dos Trabalhadores,4813
365623040172352,Romanelli,Romanelli,4755
201044363357878,Aliel Machado,Aliel Machado,4627
800038830018182,Ricardo Barros,Ricardo José Magalhães Barros,4534
278166692525157,Rodrigo Marcial,RODRIGO MARCIAL L RIBEIRO,4226
107249614189719,Facio - Bem-estar financeiro,Facio Pagamentos Ltda,4183
199599520097304,Alvaro Dias,Alvaro Fernandes Dias,4014
158170230919952,Cantora e Deputada Estadual Mara Lima Paraná,Marilimei Lima de Souza,3962
346130422386120,Hermes Frangão Parcianello,Hermes Parcianello,3895
1731404663737562,Professor Euler,Vereador Professor Euler,3785
247306032087347,Plauto Miró,Regis Rieger,3664
107352021429133,Soldado Fruet,Marcos Adriano Ferreira Fruet,3634
287652947932104,APP-Sindicato,APP Sindicato dos Trabalhadores em Educação Pública do Paraná,3628
611681208908571,Orlando Pessuti,Orlando Pessuti,3576
316828035004008,Tribunal Superior Eleitoral (TSE),Tribunal Superior Eleitoral,3381
751187041558643,Requião Filho,Requião Filho,3295
270075236400652,Hussein Bakri,Hussein Bakri,3274
145608108896911,Frente Parlamentar da Agropecuária - FPA,Instituto Pensar Agropecuária,3270
146755278735889,Mauro Moraes,Mauro Moraes,3066
107582518540889,Jessica Oliveira,Talita Eduarda Freitag,3051
109597815616,VEJA,Veja,3029
101640341185134,Delegado Matheus Laiola,Matheus Laiola,2982
1576158645984847,Fernando Giacobo,Fernando Giacobo,2855
103227678919345,Henrique Mecabô,Henrique Mecabô,2829
1450829401597540,Dr. Leônidas,Leonidas Favero Neto,2687
197587446941661,Valor Econômico,Editora Globo,2657
111974548148075,Rafaela Garcia,Jakson Dos Santos Da Silva,2505
