Page ID,Page name,Disclaimer,Amount spent (BRL)
301774903545521,Brasil Paralelo,Brasil Paralelo,8088
284484288887950,Yonny Pedroso,Yonny Pedroso,6293
168445716910917,Arthur Henrique,Arthur Henrique Brandao Machado,4737
1460558354166610,Dr. Hiran Gonçalves,Hiran Manuel Goncalves Da Silva,4619
1191139900976721,Pedro Henrique Machado,Pedro Machado,4557
1594613884123934,IDIB,INSTITUTO DE DESENVOLVIMENTO INSTITUCIONAL BRASILEIRO - IDIB,4510
567346516770426,Linoberg,Linoberg Almeida,3739
353898054715969,Romero Jucá,Romero Jucá,3484
787136714714745,Jeferson Alves,Dias,3058
217008181657329,Teresa Surita,Maria Teresa Saenz Surita Guimaraes,2956
1558586411067273,Assembleia Legislativa do Estado de Roraima,Assembleia Legislativo do Estado de Roraima,2408
104442915406410,Simone Queiroz,Simone Queiroz,2079
264298597018120,Mecias de Jesus,Mecias de Jesus,1973
338672846326510,Deputado Jorge Everton,Deputado Jorge Everton,1948
223383744823290,Deputado Federal Nicoletti,Antonio Nicoletti,1702
106558185227603,BP Select,Brasil Paralelo Entretenimento e Educação S/A,1468
250792278286894,Simone Tebet,MOVIMENTO DEMOCRÁTICO BRASILEIRO,1195
261925857331811,Telmário Mota,Telmário Mota,1168
1924704757832398,Tayla Peres,Tayla Ribeiro Peres Silva,1104
272526436678387,Joenia Wapichana,Dep Joenia Wapichana,1056
647209741961571,Marcelo Cabral,Deputado Marcelo Cabral,1050
100344248360500,Vereador Dr. Ilderson,Ilderson Silva,877
963006610391213,Deputado Estadual George Melo,George Melo,838
315178315797493,Sindpol Roraima,SINDICATO DOS POLICIAIS CIVIS DO ESTADO DE RORAIMA - SINDPOL,572
114407660269758,Zé Haroldo Cathedral,Jose Haroldo Figueiredo Campos,524
104670654749732,Núcleo de Formação,Brasil Paralelo Entretenimento e Educação S/A,483
319137984949669,Renato Queiroz,Renato Queiroz,423
217008181657329,Teresa Surita,These ads ran without a disclaimer,419
101156889079034,Ione Brasil,Ione Neves Cunha,354
111819428193963,Ozéas Colares,Ozeas Costa Colares Junior,350
188272077957844,Ranking dos Políticos,Associação Voto Real,333
159103797542,Greenpeace Brasil,Greenpeace Brasil,298
324709780996711,Ângela Portela,Ângela Maria Gomes Portela,288
102193058261726,Limpcleanmanausbelem,These ads ran without a disclaimer,266
294413323910056,Alex Ladislau,Alexander Ladislau Menezes,256
107811567351634,Ser Aprovado,These ads ran without a disclaimer,255
107624341759744,Eleição Exponencial,Revitto,252
411754008869486,Aécio Neves,Aécio Neves,234
111006700550820,Cenarium,CENARIUM AGENCIA DE NOTICIAS EIRELI,233
1924704757832398,Tayla Peres,deputada tayla peres,211
287680017998870,Focus Concursos Públicos,Fabiano Oliveira,203
100349301672599,Dra.LidianeVanderlei,Lidiane Cavalcante Vanderlei,203
337944796341003,Solidariedade,Solidariedade,194
107582518540889,Jessica Oliveira,Talita Eduarda Freitag,191
311000708931899,Deputado Evangelista Siqueira,Evangelista Soares Siqueira,190
110026561292091,Seepodcast,See Podcast,189
604752723250660,Gerlane Baccarin,Gerlane Baccarin,184
112021296931600,Mônica Lopes,IBPOM,179
962615323779536,Progressistas,PROGRESSISTAS - BRASIL - BR - NACIONAL,170
114248903470049,Frente Parlamentar da Medicina,Frente Parlamentar de Medicina,169
106869981440689,Brasil Certo,BRASIL CERTO,163
197587446941661,Valor Econômico,Editora Globo,163
105821366170914,PT - Partido dos Trabalhadores,Partido dos Trabalhadores,157
419228248099705,Oassessor.com,O Assessor Serviços em Tecnologia da Informação Ltda,154
104738421003389,InvestNews BR,Easynvest,145
107249614189719,Facio - Bem-estar financeiro,Facio Pagamentos Ltda,141
316828035004008,Tribunal Superior Eleitoral (TSE),Tribunal Superior Eleitoral,140
111819428193963,Ozéas Colares,These ads ran without a disclaimer,140
193719533998484,Fundação Fernando Henrique Cardoso,Fundação Fernando Henrique Cardoso,135
100704899231458,Andressa Linhares,Vera Elaine Dos Reis,132
163893463708223,Marcelo Vitorino,Vitorino & Mendonça,130
647209741961571,Marcelo Cabral,Tamires Macedo,130
2031750160222530,Além da Superfície,INSTITUTO BRASILEIRO DE PETROLEO E GAS,127
221803097907228,CAU - Roraima,These ads ran without a disclaimer,125
