Page ID,Page name,Disclaimer,Amount spent (BRL)
301774903545521,Brasil Paralelo,Brasil Paralelo,115391
106558185227603,BP Select,Brasil Paralelo Entretenimento e Educação S/A,21819
250792278286894,Simone Tebet,MOVIMENTO DEMOCRÁTICO BRASILEIRO,12743
1069481486459981,Antídio Lunelli,Antídio Aleixo Lunelli,12729
159103797542,Greenpeace Brasil,Greenpeace Brasil,10983
214687541970095,Ed Pereira,EDMILSON CARLOS PEREIRA JUNIOR,10745
134450246716954,Governo do Estado de Santa Catarina,Secretaria de Estado da Comunicação,9739
1385523878422010,Dr. Vicente Caropreso,Dr. Vicente Caropreso,9736
305977962832385,Bruno Souza,Bruno Souza,9610
104670654749732,Núcleo de Formação,Brasil Paralelo Entretenimento e Educação S/A,7481
387762847933217,Ana Paula Lima,Ana Paula de Souza Lima,7159
512906905424691,João Amin,João Amin,6908
299102027305,Sebrae Santa Catarina,These ads ran without a disclaimer,6622
297562416980980,Décio Lima,Thiago Filomeno,6531
247728615732878,Paulinha,Ana Paula da Silva,6236
513245022023902,Ismael Dos Santos,Ismael dos Santos,6045
364253843645006,Carlos Chiodini,Carlos Chiodini,5941
1451371678417988,Márcio Búrigo,Márcio Búrigo,5513
104738421003389,InvestNews BR,Easynvest,5251
251489518948731,Jorge Goetten,Jorge Goetten,4951
411754008869486,Aécio Neves,Aécio Neves,4940
128488587879181,Ari Rabaiolli,Ari Rabaiolli,4900
496115487137276,Mauro De Nadal,Mauro Nadal,4819
188272077957844,Ranking dos Políticos,Associação Voto Real,4704
328393683976480,Ricardo Guidi,Ricardo Zanatta Guidi,4688
108709217613749,Leandro Sorgatto,Leandro Sorgato,4408
240872789364732,Claudio Vignatti,Claudio Vignatti,4340
1323866707759906,Coronel FERES,Paulo Sérgio Feres Alves,4302
1242057125827991,Deputado Felipe Estevão,Felipe Estevao,4240
273910272715136,Cleiton Fossá,Cleiton Fossa,3865
101084162055822,Evandro Anselmini,Evandro Anselmini,3771
551976105239046,Jerry Comper,Jerry Comper,3768
139802366201747,MDB Santa Catarina,MOVIMENTO DEMOCRATICO BRASILEIRO SANTA CATARINA SC EST,3718
1491077711104985,Ada Faraco De Luca,Ada Lili Faraco De Luca,3687
1751009021822715,Kleber Wan-Dall,Kleber Wan-Dall,3599
291052834605299,Angela Amin,Angela Amin,3438
188872781277784,Celso Maldaner,Celso Maldaner,3406
478752158813845,Maurício Eskudlark Deputado,Mauricio Eskudlark,3222
105821366170914,PT - Partido dos Trabalhadores,Partido dos Trabalhadores,3187
422287131246397,Dário Berger,Dário Berger,3115
167729696658260,Napoleão Bernardes,Napoleao Bernardes Neto,3064
1150344458328931,Silvio Alexandre Zancanaro,Silvio Alexandre Zancanaro,3052
107249614189719,Facio - Bem-estar financeiro,Facio Pagamentos Ltda,3019
248218548595070,Hélio Costa,Hélio Francisco da Costa,2991
1931989763744839,Gilson Marques,Agência Domp,2954
107582518540889,Jessica Oliveira,Talita Eduarda Freitag,2909
909752425717531,Rodrigo Minotto,Rodrigo Minotto,2836
102785685263430,Sindireceita SC,SINDIRECEITA – DELEGACIA SINDICAL DE JOINVILLE,2728
1042447872549823,Deputado Sargento Lima,Carlos Henrique De Lima,2704
108061101502813,André Espezim,Andre Ross Espezim Da Silva,2698
866721873454401,Vereador Ciro Quintino,Ciro André Quintino,2665
140543869439784,Raimundo Colombo,Raimundo Colombo,2450
316828035004008,Tribunal Superior Eleitoral (TSE),Tribunal Superior Eleitoral,2434
407921272903119,Deputado Laércio Schuster,Laercio Demerval Schuster Junior,2359
152158864868989,Gean Loureiro,Gean Loureiro,2357
109597815616,VEJA,Veja,2341
1944038142509112,Dirce Heiderscheidt,Dirce Heiderscheidt,2333
870083153016828,Camilo Martins,Camilo Martins,2273
1098004260230153,Gabrielzinho,Gabriel Meurer,2258
1931989763744839,Gilson Marques,Gilson Marques,2249
1058532994163234,Juliano Campos,Juliano Duarte Campos,2233
111974548148075,Rafaela Garcia,Jakson Dos Santos Da Silva,2224
100704899231458,Andressa Linhares,Vera Elaine Dos Reis,2194
158981268130749,Deputado Coronel Armando,Deputado Coronel Armando,2131
197587446941661,Valor Econômico,Editora Globo,2073
112665771332850,Mauro Dresch,Mauro Dresch,2061
170435453536014,Celso Zuchi,Pedro Zucchi,2022
904712686376814,Coronel Mocellin,Onir Mocellin,2000
300950609939662,SESI Santa Catarina,FIESC,2000
119225184871764,Viacredi - Cooperativa de Crédito,These ads ran without a disclaimer,1993
1699109920321682,Claudio Aragão,Claudio Aragao,1991
296305600946894,Rudinei Floriano,Rudnei Floriano,1990
209760195874244,Geovania de Sá,Geovania de Sá,1978
677355412700059,Eduardo Freccia,Eduardo Freccia,1944
113165042099382,Brasil 61,Brasil 61,1931
288288391198512,Câmara de Balneário Camboriú,BALNEARIO CAMBORIU CAMARA DE VEREADORES,1899
446462582467140,Deputado Jessé Lopes,Jessé Lopes,1889
100162112686423,Jessica Rodrigues,Sales,1860
285083994905681,MDB Mulher Nacional,MOVIMENTO DEMOCRATICO BRASILEIRO BRASIL BR NACIONAL,1828
301683207203511,Jeferson Cardozo,Jeferson Cardozo,1819
164188247072662,Mídia NINJA,Mídia NINJA,1810
227274370727764,Deputado Ivan Naatz,Ivan Naatz,1797
938599402898254,Maryanne Mattos,Maryanne Mattos,1698
102609049036843,Karina Valdez,Jakson Dos Santos Da Silva,1671
799155520279793,Top de Mídia,Fernando Freitas,1659
172659486199550,Anderson Luz Dos Santos Batata,Anderson Luz Dos Santos,1640
807639649386912,Câmara Municipal de Florianópolis,Câmara Municipal de Florianópolis,1621
