Page ID,Page name,Disclaimer,Amount spent (BRL)
185500178231142,Governo do Maranhão,Governo do Estado do Maranhão,583
411754008869486,Aécio Neves,Aécio Neves,231
251235795032635,Itamar Borges,Itamar Borges,123
615600128536767,Prefeitura de Sobral,Outcome Digital Strategy,122
415205108523289,Rodrigo Garcia,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,103
143803862450980,Célio Studart,Célio Studart Barbosa,≤100
2209636419286152,Elismar Prado,Elismar Prado,≤100
278143308883621,Plox,Plox,≤100
769891416403599,Câmara Municipal - Varginha,Câmara Municipal de Varginha,≤100
157912844276400,Governo da Bahia,SECRETARIA DE COMUNICACAO SOCIAL - SECOM,≤100
103011388388429,Podemos Tocantins,PODEMOS 19,≤100
288912644461718,Diário Do Rio Doce,Jornal Diário do Rio Doce Ltda - EPP,≤100
142073912632259,Carlos Giannazi,Deputado Carlos Giannazi,≤100
206365432837539,Deputado Federal Dimas Fabiano,Dimas Fabiano Toledo Junior,≤100
158894974200303,Vitor Lippi,Vitor Lippi,≤100
532313946789323,José Airton Cirilo,José Airton Félix Cirilo da Silva,≤100
301774903545521,Brasil Paralelo,Brasil Paralelo,≤100
163852833738546,Vinicius Camarinha,Vinicius Almeida Camarinha,≤100
366870880466194,Rosângela Rezende,Rosângela de Rezende Amorim,≤100
1211366248899077,Prefeitura de Duque de Caxias,Prefeitura de Duque de Caxias,≤100
1267721316595151,Ronaldo Dimas,RONALDO DIMAS,≤100
855307314561093,Crors Conselho,Conselho Regional de odontologia RS,≤100
1385523878422010,Dr. Vicente Caropreso,Dr. Vicente Caropreso,≤100
108143861587898,Maurício Neves,Manoel Neves,≤100
558668490818164,Adelino Ribeiro,Adelino Ribeiro Silva,≤100
201991609984528,Odair Cunha,Odair José da Cunha,≤100
105527742878890,Prefeitura do Recife,Prefeitura do Recife,≤100
699693400101917,Cabo Gilberto Silva,Gilberto Gomes da Silva,≤100
1671656236440009,Mauro Tramonte,Mauro Tramonte,≤100
1191139900976721,Pedro Henrique Machado,Pedro Machado,≤100
280207712721855,Mara Rocha,Mara Rocha,≤100
281003038621824,Simplício Araújo,Simplício Araújo,≤100
346130422386120,Hermes Frangão Parcianello,Hermes Parcianello,≤100
1433633210183535,Antônio Félix,Antonio Félix,≤100
103278651903204,Renato Filho,Renato Filho,≤100
1496677140634911,Luis Miranda USA,Luis miranda,≤100
1823290424577861,Felipe Camarão,Felipe Costa Camarão,≤100
334712053252519,Deputado Noel de Carvalho,Noel De Carvalho Neto,≤100
295831333862162,Beto Preto,Beto Preto,≤100
507138922647845,Noraldino Júnior,Noraldino Júnior,≤100
1766519210291192,Hery Kattwinkell,Hery Waldir Kattwinkel Junior,≤100
861136243903258,Miguel Coelho,Miguel Leao Coelho,≤100
240872789364732,Claudio Vignatti,Claudio Vignatti,≤100
194227587378355,Rose Modesto,Deputada Federal Rose Modesto,≤100
113676935411485,Eder Magrão Clube Fm 101.9,Eder Gean Silva,≤100
192809017556941,Isaltino Nascimento,Isaltino Nascimento,≤100
219825344705412,Deputado André Corrêa,André Correa,≤100
328393683976480,Ricardo Guidi,Ricardo Zanatta Guidi,≤100
159103797542,Greenpeace Brasil,Greenpeace Brasil,≤100
1451371678417988,Márcio Búrigo,Márcio Búrigo,≤100
670784836310449,Deputado Estadual Inácio Franco,Inacio Franco,≤100
112659180432045,Girl Up Brasil,Leticia Puech Bahia Diniz,≤100
374024492663682,Guerino Zanon,Marcello Nogueira,≤100
622797414505292,Walter Cavalcante,Walter Cavalcante,≤100
738378943172926,Faculdade Republicana,Faculdade Republicana,≤100
1045166105494697,Tenente Coronel Paccola,T. Coronel Paccola,≤100
130613253693410,Rogério Marinho,Rogerio Simonetti Marinho,≤100
1433103303568739,Greyce Elias,Greyce De Queiroz Elias,≤100
237724793418207,Sd Fruet,Tatiana Felisberto,≤100
238321123577351,Deputado Josivaldo JP,Josivaldo Melo,≤100
153628338095740,Zé Nunes,Jose Sidney Nunes De Almeida,≤100
209760195874244,Geovania de Sá,Geovania de Sá,≤100
103609098277202,Pra Ser Justo,Endeavor Brasil,≤100
141670129347094,Elizeu Nascimento,Elizeu Francisco Do Nascimento,≤100
268217989858817,Marília Arraes,Marília Arraes,≤100
1960660980851902,Leiagora Portal de Notícias,PORTAL DE NOTICIAS LEIAGORA,≤100
215481402320993,Prefeitura Municipal de Minaçu,Prefeitura Municipal de Minaçu-Go,≤100
1271496449602306,Leônidas Cristino,José Leônidas de Menezes Cristino,≤100
1806199256369336,Luis Henrique,Luis Henrique dos Santos Moreira,≤100
1489999951307578,Supremo Rondon - Concursos,Wellmory Fernando Sousa Nazario,≤100
112217593854223,Claudio Ferreira,Claudio Ferreira De Souza,≤100
533495260042236,Sérgio Souza,Sérgio Souza,≤100
127886724524889,Reginaldo Marcomini,Reginaldo Eloy Marcomini Dos Reis,≤100
107893904265025,André Vilas Boas,Andre Boas,≤100
1995684880734932,Carlão Pignatari,Carlão Pignatari,≤100
