Page ID,Page name,Disclaimer,Amount spent (GBP)
10642639740,Alliance Party of Northern Ireland,Alliance Party of Northern Ireland,21502
105732052794210,Democratic Unionist Party,Democratic Unionist Party,21369
102849985723138,Sinn Fein Assembly Election,Sinn Féin,20398
111956985487415,Social Democratic and Labour Party,Social Democratic and Labour Party (SDLP),15686
311627208673,WWF UK,WWF UK,13600
408582579294175,UK government,UK Government,11581
7715002593,UNICEF UK,Unicef UK,11194
26698813123,British Red Cross,British Red Cross,10583
148726998530273,Sinn Féin Ireland,Sinn Féin Ireland,9616
730993880393394,Michelle O'Neill,Sinn Féin,9546
106626487721376,Amazon Europe,Amazon Europe,7235
9250349228,Greenpeace UK,Greenpeace,7134
114065746989328,Northern Ireland Office,Northern Ireland Office [NIO],6576
138007436233900,Public Health Agency,Public Health Agency,6468
345463602161853,bp,bp,5668
220543443746,International Rescue Committee - UK,International Rescue Committee UK,5311
841894835830532,Electoral Commission UK,Electoral Commission UK,4678
107584191543,Ulster Unionist Party,Ulster Unionist Party,4503
105587541912957,Conor Houston SDLP,Conor Patrick Houston,3625
102639461303190,Fair Pay For All,Fair Pay For All,3480
7715002593,UNICEF UK,Paid for by UNICEF UK,3408
33268280976,Disasters Emergency Committee (DEC),Disasters Emergency Committee,3231
353224381469808,ifaw,IFAW,3017
158077247591710,Refuge,Refuge,2998
722939897742608,The Co-operative Bank,The Co-operative Bank,2969
110861655604080,Friends of the Earth,Friends of the Earth (EWNI),2913
121936349543,World Vision UK,World Vision UK,2852
424185644285092,ARIEL,Ariel,2830
799576543492660,The Week Junior,The Week Junior,2776
108431303876163,Clim8,Clim8 Invest Ltd,2428
241312696375349,National Education Union,National Education Union,2346
39605200520,ActionAid UK,ActionAid UK,2263
171858976314521,UKHospitality,UKHospitality,2208
18168505158,The Woodland Trust,Woodland Trust,2197
117476785190,Save the Children UK,Save the Children UK,2186
102123078587530,GB News,GB NEWS LIMITED,2184
211614899544570,Long Live The Local,Long Live The Local,2168
7624294394,Amnesty International UK,Amnesty International UK,2089
27770740767,Samaritans,Samaritans,2037
45665414353,Cycling UK,Cycling UK,1908
117509421272,St Mungo's,St Mungo's,1824
18933154958,CARE International UK,CARE International UK,1754
311961536170832,Adam Gannon SDLP,MR ADAM F - GANNON,1749
310531132443420,Concern Worldwide UK,Concern Worldwide UK,1680
102863021584427,Colin McGrath SDLP,Colin Paul Mc Grath,1665
16340868161,Northern Ireland Human Rights Commission,Northern Ireland Human Rights Commission,1625
177855115588808,The Week UK,The Week UK,1584
2558329857727118,Families In Debt,Families in debt,1539
263162170381168,The Salvation Army United Kingdom and Ireland Territory,The Salvation Army United Kingdom with the Republic of Ireland,1515
138385936213569,Northern Ireland Water,Northern Ireland Water,1488
1660600037490738,Guardian Labs,Guardian Labs,1456
438684349902986,Jobs & Benefits Northern Ireland,Jobs & Benefits Northern Ireland,1450
461006963963263,Socialist Party NI,Daniel Francis Hugh Waldron,1439
113737240405347,Paul Doherty,Paul Doherty,1391
13533633585,National Trust,National Trust,1275
494458473950282,Nutella,Ferrero UK Ltd,1231
220543443746,International Rescue Committee - UK,International Rescue Committee UK with Facebook ad credit,1180
34341434454,Comic Relief,Comic Relief,1174
1952937738335006,Revolutionary Tech,Southbank Investment Research Limited,1160
1414985198733772,Jim Allister,Traditional Unionist Voice,1102
195754307110390,Right To Life UK,Right To Life UK,1083
201125756607898,Love Food Hate Waste - Community,Love Food Hate Waste,1078
7527864602,WaterAid UK,WaterAid UK,1060
39556650565,League Against Cruel Sports,League Against Cruel Sports,1001
147064371974492,nibusinessinfo.co.uk,Invest Northern Ireland,990
315934252420539,Cara Hunter MLA,Cara Hunter,965
208573062515662,Freedom from Torture,Freedom from Torture,921
814286971994326,Daniel McCrossan MLA,SDLP,902
8876787713,Mental Health Foundation,Mental Health Foundation,898
1772835632953171,Patsy McGlone,Patsy McGlone MLA,880
579979835478808,Imagine. The Belfast Festival of Ideas & Politics,Imagine Belfast Ltd,850
97708339756,Action for Children,Action for Children,835
10114144851,NSPCC,NSPCC,834
373884039318606,Canva,These ads ran without a disclaimer,818
101602743218479,Stop It Now! UK and Ireland,"Stop It Now! UK and Ireland, The Lucy Faithfull Foundation",762
246872175166,Action Against Hunger UK,Action Against Hunger UK,759
959506547425286,Dolores Kelly,Ciaran Martin Toman,756
25919404073,Energy Saving Trust,Energy Saving Trust,749
47612991154,Dignity in Dying,Dignity in Dying,741
106182840998338,Sinead McLaughlin MLA,Sinead Mc Laughlin,739
186622728032,RSPB Love Nature,RSPB,731
234927693364351,Pat Catney MLA,Patrick Joseph Catney,711
943840712330932,TUV - Traditional Unionist Voice,TUV,708
328457661378085,Humanity & Inclusion UK,Humanity & Inclusion UK,706
208516013018318,Equality Commission for Northern Ireland,Equality Commission for Northern Ireland,703
109482897616057,Nichola Mallon North Belfast,Nichola Maria Mallon,700
11965205188,Practical Action,Practical Action,686
104052023086160,Centra NI,Centra NI,650
219947610085,Marine Conservation Society,Marine Conservation Society,648
