Page ID,Page name,Disclaimer,Amount spent (GBP)
200786289976224,The Scottish Government,The Scottish Government,225861
2577614072252813,Scotland's Census 2022,National Records of Scotland,114224
841894835830532,Electoral Commission UK,Electoral Commission UK,63163
101558386889,Shelter Scotland,Shelter Scotland,53490
311627208673,WWF UK,WWF UK,47724
26698813123,British Red Cross,British Red Cross,45701
408582579294175,UK government,UK Government,41080
1160491283986885,Parent Club Scotland,Parent Club Scotland,40068
7715002593,UNICEF UK,Unicef UK,38978
102639461303190,Fair Pay For All,Fair Pay For All,34718
136308776480,Scottish Conservatives,"and promoted by James Tweedie on behalf of the Scottish Conservative & Unionist Party, both of 67 Northumberland Street, Edinburgh, EH3 6JG",28175
9250349228,Greenpeace UK,Greenpeace,27545
159100234275780,UK Government Scotland,Office of the Secretary of State for Scotland,22509
7214031395,Oxfam Great Britain,Oxfam Great Britain,22277
424982944250797,Police Scotland,Spiritmedia Ltd.,22271
220543443746,International Rescue Committee - UK,International Rescue Committee UK,22252
17999726169,Scottish Green Party,Scottish Green Party,20469
320344981331677,Net Zero Scotland,The Scottish Government,19053
47612991154,Dignity in Dying,Dignity in Dying,18378
657070411062471,Anas Sarwar,Scottish Labour Party,18339
33268280976,Disasters Emergency Committee (DEC),Disasters Emergency Committee,16813
442816382865338,Social Security Scotland,Social Security Scotland,16401
166335402260,Scottish Water,Scottish Water,16366
106626487721376,Amazon Europe,Amazon Europe,16080
345463602161853,bp,bp,14922
353224381469808,ifaw,IFAW,14543
105325515394672,Local Recovery,Local Recovery,14316
310039442421596,Scottish Labour Party,Scottish Labour Party,13575
7715002593,UNICEF UK,Paid for by UNICEF UK,11631
7043497714,Christian Aid,Christian Aid,10839
1645963095654688,Healthier Scotland,The Scottish Government,10537
799576543492660,The Week Junior,The Week Junior,10171
158077247591710,Refuge,Refuge,10019
143967842304149,Zero Waste Scotland,Zero Waste Scotland,9660
77249349077,Scottish National Party (SNP),Scottish National Party (SNP),9146
121936349543,World Vision UK,World Vision UK,8591
7624294394,Amnesty International UK,Amnesty International UK,8207
211614899544570,Long Live The Local,Long Live The Local,8017
117476785190,Save the Children UK,Save the Children UK,7890
39605200520,ActionAid UK,ActionAid UK,7826
108431303876163,Clim8,Clim8 Invest Ltd,6607
18933154958,CARE International UK,CARE International UK,6390
177855115588808,The Week UK,The Week UK,5983
424185644285092,ARIEL,Ariel,5979
287289248010835,Glasgow Green Party,Scottish Green Party,5750
8876787713,Mental Health Foundation,Mental Health Foundation,5638
117509421272,St Mungo's,St Mungo's,5572
722939897742608,The Co-operative Bank,The Co-operative Bank,5542
143664152344192,WWF Scotland,WWF Scotland,5379
102123078587530,GB News,GB NEWS LIMITED,5117
2297926640486522,YouGov Chat,Inconvo,5106
18168505158,The Woodland Trust,Woodland Trust,5068
263162170381168,The Salvation Army United Kingdom and Ireland Territory,The Salvation Army United Kingdom with the Republic of Ireland,4966
332342972847,SCIAF,SCIAF,4923
309808725793781,The Royal Bank of Scotland,NatWest Group plc,4891
220543443746,International Rescue Committee - UK,International Rescue Committee UK with Facebook ad credit,4874
134077510212,Aberlour Children's Charity,"Aberlour Child Care Trust,",4691
529056943947948,Home Office,Home Office,4639
171858976314521,UKHospitality,UKHospitality,4520
248887561894779,Home Energy Scotland,These ads ran without a disclaimer,4403
1660600037490738,Guardian Labs,Guardian Labs,4351
208573062515662,Freedom from Torture,Freedom from Torture,3936
2558329857727118,Families In Debt,Families in debt,3805
130875943608132,Cycling Scotland,Cycling Scotland,3646
6447117653,Crisis,Crisis UK,3635
