Page ID,Page name,Disclaimer,Amount spent (GBP)
220543443746,International Rescue Committee - UK,International Rescue Committee UK,7173
220543443746,International Rescue Committee - UK,International Rescue Committee UK with Facebook ad credit,4026
39605200520,ActionAid UK,ActionAid UK,860
107667846010490,EMERGENCY NGO,EMERGENCY UK,≤100
9250349228,Greenpeace UK,Greenpeace,≤100
123027101047606,Pancreatic Cancer UK,Pancreatic Cancer UK,≤100
102639461303190,Fair Pay For All,Fair Pay For All,≤100
191798005066604,Waterhaul,Waterhaul,≤100
311627208673,WWF UK,WWF UK,≤100
8579062138,The British Library,British Library,≤100
408582579294175,UK government,UK Government,≤100
211614899544570,Long Live The Local,Long Live The Local,≤100
6447117653,Crisis,Crisis UK,≤100
47612991154,Dignity in Dying,Dignity in Dying,≤100
89151782746,Fauna & Flora International,Fauna & Flora International,≤100
110861655604080,Friends of the Earth,Friends of the Earth (EWNI),≤100
101054922599090,Powerlink,These ads ran without a disclaimer,≤100
101666288866516,JouetGadget,These ads ran without a disclaimer,≤100
106626487721376,Amazon Europe,Amazon Europe,≤100
108431303876163,Clim8,Clim8 Invest Ltd,≤100
7715002593,UNICEF UK,Unicef UK,≤100
424185644285092,ARIEL,Ariel,≤100
35671512696,World Animal Protection UK,World Animal Protection UK,≤100
1897296080565904,Wagestream,These ads ran without a disclaimer,≤100
2577614072252813,Scotland's Census 2022,National Records of Scotland,≤100
7043497714,Christian Aid,Christian Aid,≤100
33268280976,Disasters Emergency Committee (DEC),Disasters Emergency Committee,≤100
764531490245013,Cauldron Foods,Cauldron Foods,≤100
34341434454,Comic Relief,Comic Relief,≤100
650350121728140,366 Concept - Retro Furniture,These ads ran without a disclaimer,≤100
26698813123,British Red Cross,British Red Cross,≤100
912590792245688,NHS Negligence Claims,Online Legal Limited,≤100
799576543492660,The Week Junior,The Week Junior,≤100
722939897742608,The Co-operative Bank,The Co-operative Bank,≤100
7214031395,Oxfam Great Britain,Oxfam Great Britain,≤100
77071765498,Leonard Cheshire,Leonard Cheshire,≤100
18044497940,Plan International UK,Plan International UK,≤100
2558329857727118,Families In Debt,Families in debt,≤100
246872175166,Action Against Hunger UK,Action Against Hunger UK,≤100
510409426105849,Sorin Dumitru Dobrila,Sorin Dumitru Dobrila,≤100
114897779919277,Womendealingwithdebt.com,These ads ran without a disclaimer,≤100
249209468838241,Good Law Project,Good Law Project,≤100
6708565748,CBM UK,CBM UK,≤100
601388547012748,Ecologi,Ecologi,≤100
113728932022446,Internet Watch Foundation,Internet Watch Foundation,≤100
7715002593,UNICEF UK,Paid for by UNICEF UK,≤100
114065746989328,Northern Ireland Office,Northern Ireland Office [NIO],≤100
101558386889,Shelter Scotland,Shelter Scotland,≤100
2034179520134606,Bridgemary Focus,Bridgemary Focus,≤100
915836715188419,Global Relief Trust,These ads ran without a disclaimer,≤100
18168505158,The Woodland Trust,Woodland Trust,≤100
241312696375349,National Education Union,National Education Union,≤100
159100234275780,UK Government Scotland,Office of the Secretary of State for Scotland,≤100
45665414353,Cycling UK,Cycling UK,≤100
136745423896,Muslim Ad Network,These ads ran without a disclaimer,≤100
1634484040190637,VERSUS,VERSUS,≤100
547761111920012,Anglian Water - Love Every Drop,Anglian Water,≤100
121936349543,World Vision UK,World Vision UK,≤100
1721275931466984,The Reclaim Party,The Reclaim Party,≤100
110617675665050,Aviva,Aviva,≤100
407402162736656,Labour East,The Labour Party,≤100
358706239805,Scope,Scope,≤100
1563885000341643,Pauls Personal Crafts,Paul Wilson,≤100
698773137204706,Give My View,Built-ID,≤100
353224381469808,ifaw,IFAW,≤100
25749647410,The Labour Party,The Labour Party,≤100
107286223667,Kurt Geiger,Kurt Geiger,≤100
158077247591710,Refuge,Refuge,≤100
388650307829032,Rachel Reeves,Office of Rachel Reeves MP,≤100
117476785190,Save the Children UK,Save the Children UK,≤100
474613052643462,London Labour Party,The Labour Party,≤100
514931025362556,Harrow Labour,Joshua Michael Groves,≤100
225626422729789,Elsie Trainor SDLP,Elsie Mc Loughlin,≤100
7624294394,Amnesty International UK,Amnesty International UK,≤100
360322167647280,"Mayor of London, Sadiq Khan",The Greater London Authority,≤100
18933990398,Stonewall,Stonewall UK,≤100
