Page ID,Page name,Disclaimer,Amount spent (GBP)
165099760197787,Welsh Government,Welsh Government,164800
841894835830532,Electoral Commission UK,Electoral Commission UK,44597
311627208673,WWF UK,WWF UK,31202
26698813123,British Red Cross,British Red Cross,30216
408582579294175,UK government,UK Government,24565
7715002593,UNICEF UK,Unicef UK,19965
9250349228,Greenpeace UK,Greenpeace,18535
102639461303190,Fair Pay For All,Fair Pay For All,16788
7214031395,Oxfam Great Britain,Oxfam Great Britain,14246
220543443746,International Rescue Committee - UK,International Rescue Committee UK,13640
159670677391384,Welsh Labour,Welsh Labour,11739
106626487721376,Amazon Europe,Amazon Europe,10464
785572394917147,Swansea Labour Councillors,Swansea Labour,10312
33268280976,Disasters Emergency Committee (DEC),Disasters Emergency Committee,10302
353224381469808,ifaw,IFAW,9959
190194154347100,Llywodraeth Cymru,Llywodraeth Cymru,9612
345463602161853,bp,bp,9562
514212165305248,Leigh Day,Leigh Day,7797
7043497714,Christian Aid,Christian Aid,6874
310841682576,Shelter Cymru,Shelter Cymru,6866
211614899544570,Long Live The Local,Long Live The Local,6849
158077247591710,Refuge,Refuge,6745
121936349543,World Vision UK,World Vision UK,5672
110861655604080,Friends of the Earth,Friends of the Earth (EWNI),5630
799576543492660,The Week Junior,The Week Junior,5627
7715002593,UNICEF UK,Paid for by UNICEF UK,5437
8876787713,Mental Health Foundation,Mental Health Foundation,5180
7624294394,Amnesty International UK,Amnesty International UK,5075
39605200520,ActionAid UK,ActionAid UK,5047
18933154958,CARE International UK,CARE International UK,4623
490007667679401,Hugh James,Hugh James,4621
117476785190,Save the Children UK,Save the Children UK,4613
108431303876163,Clim8,Clim8 Invest Ltd,4424
912590792245688,NHS Negligence Claims,Online Legal Limited,4380
562786050523204,UK Government Wales / Llywodraeth DU Cymru.,UK Government Wales,4221
722939897742608,The Co-operative Bank,The Co-operative Bank,4053
536434487252084,Protect & Connect UK,Protect and Connect,4038
101602743218479,Stop It Now! UK and Ireland,"Stop It Now! UK and Ireland, The Lucy Faithfull Foundation",3956
13533633585,National Trust,National Trust,3630
177855115588808,The Week UK,The Week UK,3628
102123078587530,GB News,GB NEWS LIMITED,3619
18168505158,The Woodland Trust,Woodland Trust,3581
263162170381168,The Salvation Army United Kingdom and Ireland Territory,The Salvation Army United Kingdom with the Republic of Ireland,3452
424185644285092,ARIEL,Ariel,3440
2558329857727118,Families In Debt,Families in debt,3232
141487006009973,Rob James,Robert Lee William James,3141
171858976314521,UKHospitality,UKHospitality,3133
529056943947948,Home Office,Home Office,3033
1660600037490738,Guardian Labs,Guardian Labs,2938
117509421272,St Mungo's,St Mungo's,2849
220543443746,International Rescue Committee - UK,International Rescue Committee UK with Facebook ad credit,2668
208573062515662,Freedom from Torture,Freedom from Torture,2651
10114144851,NSPCC,NSPCC,2626
