Page ID,Page name,Disclaimer,Amount spent (USD)
109418838263843,Lew Burdette for Governor,LEWin22 For Governor,39119
110924734766613,Tim James For Governor,"Tim James Governor 2022, Inc.",25640
515160855534095,Judge Debra Jones,Judge Debra Jones Campaign,25605
101375062242163,Elect Mike Jones for Alabama Senate- District 31,Mike Jones Campaign,22917
106057494680860,Greg Cook for Supreme Court,Greg Cook for Alabama Supreme Court,22047
111687831420243,Brian Christine for State Senate,Christine For Senate,20521
113728836935264,Steve Carey for County Commission,Carey for County Commisisoner,19315
535186963191852,CUNA,Credit Union National Association,16629
101828156534504,He Gets Us,He Gets Us LLC,14124
120265096677128,Lindy Blanchard For Governor of Alabama,Lindy Blanchard for Governor,13381
497082540351124,Representative Mack N. Butler,Mack Butler for House,11977
127225910653607,PragerU,PragerU,11451
100974305838371,Ernie Yarbrough for House - District 7,Ernie Yarbrough for State House,10960
108519155182959,Chip Beeker for PSC,FRIENDS OF CHIP BEEKER,10889
128722474347058,Andrew Sorrell for State Auditor,Committee to Elect Andrew Sorrell,10626
105166942070049,Keith Blackwood for District Attorney,Keith Blackwood for District Attorney,10145
615012925186487,Tom Butler For State Senate,Friends of Tom Butler,9704
466633186797138,Shay Shelnutt For Senate,Shay Shelnutt for Senate,9506
2067923086763935,"Jay Hovey, Alabama State Senate District 27",James Thomas Hovey Jr,8558
108646791641754,Jennifer Wright for District Court Judge,Jennifer Wright for District Judge,8411
188956885038996,Dan Roberts for Alabama,Dan Roberts for Senate,8150
259414953192,Tom Whatley,FRIENDS OF TOM WHATLEY,7984
105251911754539,Kay Ivey,Kay Ivey for Governor,7546
945893622250665,Jim Carns,Jim Carns Campaign,7138
113237484695047,Common Sense America Election Fund,Common Sense America Election Fund,7128
27544763621,Prison Fellowship,Prison Fellowship,7101
103520082006875,Cory Franks for House District 14,Committee to Elect Cory Franks,7070
1169480433165026,Steve Marshall,Steve Marshall For Alabama,7030
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,6817
102829295686914,Frances Taylor for State House,Frances Taylor for House,6603
109951028297828,Bill McAdams for State House,Bill McAdams for House,6583
203805062990264,Ben Shapiro,The Daily Wire,6570
165902857387075,Gil Isbell for State House District 28,Isbell for House 28,6365
107820108323163,Matt Casey District Attorney,Casey for District Attorney,6174
1646115925482062,Proncey Robertson State Representative District 7,Campaign to Elect Proncey Robertson,6008
715605218474565,Tommy Hanes,Committee to Elect Tommy Hanes,5738
100114142388874,James Lomax for State House,Friends of James Lomax,5502
111639264738193,Re-Elect District Attorney Wilson Blaylock,Committee to Re-Elect Wilson Blaylock,5475
490338027836333,Elect Frances Holk-Jones for State Representative District 95,Frances Holk-Jones,5297
101006092119701,Paul Burch for Sheriff,Friends of Paul Burch,5210
18982436812,ACLU,American Civil Liberties Union,5161
260754507296508,The Voter Participation Center,Voter Participation Center,4985
101422858844163,Elect Donna Givens,Friends of Donna Givens,4966
1484724105163169,Courageous Conservatives PAC,COURAGEOUS CONSERVATIVES PAC,4928
101054509137505,Spann for Judge,SPANN for JUDGE,4906
103671862134913,Brock Colvin for State House,Brock Colvin for House,4800
40217893542,AIPAC,AIPAC,4647
134498556891640,Val Demings,Val Demings for U.S. Senate,4629
102375929014992,"Jonathan Armstrong for Baldwin County Commission, District 2",Committee to Elect Jonathan Armstrong,4621
109985894715539,Josh Carnley for Alabama Senate,Carnley For Senate,4501
239871211294710,Jamie Grant for District 29,Jamie Grant for State House,4493
103247591627255,Advance Etowah,Advance Etowah,4292
100289605857598,United Solutions,United Solutions,4210
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,4169
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,3996
92925746942,Judicial Watch,Judicial Watch,3989
110528004819958,Chadwick Smith,Campaign of Chadwick Smith,3910
105300935408037,Matt McKenzie for Baldwin County Commissioner - District 2,Matt Mckenzie,3879
578692722284327,Duerr for District Attorney,Paid for by D. Jeremy Duerr for District Attorney,3831
2042026972481562,"Parker Duncan Moore, State Representative District 4",Friends To Elect Parker Duncan Moore,3829
140357056032320,NEA Today,National Education Association,3760
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",3755
101745838861028,1819 News,1819 Media,3750
1593518174052711,Candace Owens,Daily Wire,3593
962210870602007,Rep. Neil Rafferty,Committee to Elect Neil Rafferty,3590
513256362400097,Rep. Matt Simpson,Committee to Elect Matt Simpson,3588
103489358958219,"Mike Segrest for District Attorney, 5th Judicial Circuit",Committee to Elect Mike Segrest,3566
104036078858972,Jennifer Fidler,Friends of Jennifer Fidler,3554
101698433754691,Elect Judge Wes Allen to the Office of Alabama Secretary of State,Commitee to Elect Judge Wes Allen,3507
249675145139176,Leigh Hulsey for State House District 15,THE COMMITTEE TO ELECT LEIGH HULSEY,3477
100281605722554,Mike Kirkland,Friends of Mike Kirkland,3466
102022212245872,Matt Woods for State House District 13,Matt Woods for State House District 13,3433
101013122422735,Elijah Beaver for Lee County Circuit Judge,Elijah Beaver for Circuit Judge Campaign Committee,3370
106814595082897,Col. Leonard Kiser for Sheriff,Elect Col Leonard Kiser Sheriff,3339
105096872087253,McCaney4ALHouse,Committee to Elect Maurice McCaney,3336
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,3332
106028915088104,Greg White for House,Greg White for House,3239
101061855827977,Angelo Fermo,Committee to Elect Angelo Fermo,3231
20531316728,Facebook App,"Facebook, Inc.",3220
100473812606847,Jody Tallie for District Judge,COMMITTEE TO ELECT JODY TALLIE,3106
385473284886474,Hillsdale College,Hillsdale College,3100
100136349066140,Butler for Alabama,Butler for Alabama,3100
251582291527312,Elect Keith Davis House District 13,Committee to Elect Keith Davis,3016
114049044518484,Angela McClure for Alabama State House - 20,Angela McClure for State House - District 20,2992
1922676964440312,Re-Elect Rep. Dickie Drake,Dickie Drake Campaign,2954
112706964681755,Jason Black for State House District 2,Friends of Jason Black,2940
103206748970169,David Latimer for Talladega County Sheriff,Committee to Elect David Latimer,2933
108403844864647,Susan DuBose for State House District 45,Committee to Elect Susan DuBose,2912
1986773388278880,Mark Shirey for House District 100,Dr. Mark Shirey for AL 100,2909
1782607892044953,Phillip Ensler for Alabama House District 74,The Committee to Elect Phillip Ensler,2895
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,2895
103346568682773,John Roberts for Congress,JOHN ROBERTS FOR CONGRESS,2890
85337666730,Republican Governors Association (RGA),REPUBLICAN GOVERNORS ASSOCIATION,2883
2225580284361712,Tommy Tuberville,"Tuberville for Senate, Inc.",2873
105033552190256,Beasley for Senate,Beasley for Senate,2724
103384361855818,Keith Kelley For State Senate,Friends of Keith Kelley for Senate,2676
112406087871758,Wendy Draper for State Senate - Alabama District 12,COMMITTEE TO ELECT WENDY DRAPER,2675
100537898986415,Jessica Sanders for Circuit Judge,Committee to Elect Jessica Sanders,2662
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",2632
108525094971877,Brad Tompkins for State House,Brad Tompkins for State House,2587
109386048011290,Stan Cooke,COOKE FOR AUDITOR,2575
1415121932052903,Brandon Shoupe for Chairman,Citizens for Brandon Shoupe,2564
101409775845598,Marie Manning for State School Board - District 6,Marie Manning Campaign,2564
108414778173659,Patrick Johnson - The RIGHT Choice for District 4,Elect Patrick Johnson,2558
1957378971047456,Dale Strong for Congress,Dale Strong for Congress,2542
105274628719440,Rand for Judge,Rand for Judge,2485
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",2471
248505672639179,Joe Faust for House District 94,Friends of Joe Faust,2470
115629751140750,The Real Buzz Jordan,Alabamians Backing Law Enforcement,2370
399686126718276,Representative Russell Bedsole,Committee to Elect Russell Bedsole,2254
100754085901967,Lance Bell for Senate District 11,FRIENDS FOR LANCE BELL,2198
107005161695319,Herschel Walker,"TEAM HERSCHEL, INC.",2179
107285848493204,Keep Sheriff Mark Pettway,Committee to Elect Mark Pettway,2156
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,2134
106781911647620,Richardson for Judge,Marketing Services LLC,2115
113553048669158,Rick Scott,RICK SCOTT FOR FLORIDA,2085
