Page ID,Page name,Disclaimer,Amount spent (USD)
405036766556129,Lou and Josh 2022,Committee to Re-Elect Leon Guerrero & Tenorio,10655
109066018392018,Responsible Guam PAC,Responsible Guam PAC,5906
629062130882339,Congressman Michael F.Q. San Nicolas - Guam,United States House of Representatives,4898
308817409741999,Governor Lou Leon Guerrero,Office of the Governor of Guam,3544
398757490729,The National Network to End Domestic Violence,"NATIONAL NETWORK TO END DOMESTIC VIOLENCE, INC.",209
111006106975721,Celebration of Asher's Life,David J. Lubofsky,111
150845118287330,Vice Speaker Tina Rose Muña Barnes,Chirag Mohan Bhojwani,≤100
1619846278287279,Progressive Democrats of Guam,Julian Christopher Janssen,≤100
2185419308151935,Attorney General Leevin Camacho,Committee to Elect Leevin T. Camacho,≤100
101301278284850,Ken Leon Guerrero for Senator,Ken Leon Guerrero for Senator,≤100
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
339681890055525,Mana Pacific,Mana Pacific,≤100
1238173096287495,Azur Games,These ads ran without a disclaimer,≤100
154163327962392,World Health Organization (WHO),These ads ran without a disclaimer,≤100
719853864726295,Mindvalley,These ads ran without a disclaimer,≤100
503951883021764,ShareTheMeal,These ads ran without a disclaimer,≤100
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100
769023119828077,"Generation Renewable, Inc.",These ads ran without a disclaimer,≤100
141576709631498,Pacific Island Times,These ads ran without a disclaimer,≤100
102874232203527,New Page,These ads ran without a disclaimer,≤100
106597228718144,Downloader Zb,These ads ran without a disclaimer,≤100
109929194247839,Paisajismo - Jardinería y Arquitectura,These ads ran without a disclaimer,≤100
103046768912487,Las mejores novelas,These ads ran without a disclaimer,≤100
105226841774989,Science101 Trends,These ads ran without a disclaimer,≤100
2079497235397580,עופר גולדשטיין רואי חשבון - מיסוי בינלאומי,These ads ran without a disclaimer,≤100
100868714666458,Low Carbon Sea Transport in RMI,These ads ran without a disclaimer,≤100
101660089132919,Scanner,These ads ran without a disclaimer,≤100
0,Instagram User 7626148714,These ads ran without a disclaimer,≤100
529660253742398,Hawaiian Electric,"HAWAIIAN ELECTRIC COMPANY, INC.",≤100
108825924296169,Nova: Iron Galaxy,These ads ran without a disclaimer,≤100
0,Instagram User 3521812748,These ads ran without a disclaimer,≤100
109662488246997,Explore Haikou,These ads ran without a disclaimer,≤100
100851005361914,Populiist Online,These ads ran without a disclaimer,≤100
102040279188611,Support Ukrainians WW,These ads ran without a disclaimer,≤100
290980968206977,GameDay News,These ads ran without a disclaimer,≤100
153371894688575,World Bank,These ads ran without a disclaimer,≤100
134278719946186,Bayer,These ads ran without a disclaimer,≤100
1485702154856677,Super Crown - speed crush-4,These ads ran without a disclaimer,≤100
70877580782,IFC - International Finance Corporation,These ads ran without a disclaimer,≤100
216311481960,Bill Gates,These ads ran without a disclaimer,≤100
874313709575804,Fashion Rollers,These ads ran without a disclaimer,≤100
179421405524768,Economy Rent a Car,These ads ran without a disclaimer,≤100
104639814443059,The Daddest,These ads ran without a disclaimer,≤100
101882155449885,Parenting101 Trends,These ads ran without a disclaimer,≤100
100773438987835,Standard Industries,These ads ran without a disclaimer,≤100
114173187847219,Gems For Everybody Prime,These ads ran without a disclaimer,≤100
