Page ID,Page name,Disclaimer,Amount spent (USD)
108774614054683,American Edge Project,American Edge,17360
101828156534504,He Gets Us,He Gets Us LLC,10182
106216341779798,Mobilize to keep loved ones safe,GOTVAX INC,9712
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,8323
127225910653607,PragerU,PragerU,7469
100289605857598,United Solutions,United Solutions,5734
27544763621,Prison Fellowship,Prison Fellowship,5586
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,3760
100776719189544,Tell Congress: Don't Let China Pull Ahead,Taxpayers Protection Alliance,3480
203805062990264,Ben Shapiro,The Daily Wire,3138
40217893542,AIPAC,AIPAC,2853
100146652437834,Life is For Thriving,Life is For Thriving,2741
1446823768756602,Michael Guest,FRIENDS OF MICHAEL GUEST,2673
92925746942,Judicial Watch,Judicial Watch,2583
106559805163436,Affordable American HealthCare,The Burial Solution,2471
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",2280
20531316728,Facebook App,"Facebook, Inc.",2250
350605302834,Steven Palazzo,Palazzo for Congress,2192
140357056032320,NEA Today,National Education Association,2123
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,2046
105471235196785,Clay Wagner for Congress- Conservative Republican,Clay Wagner for Congress,2041
1587845658207917,Manufacturers United,National Association of Manufacturers,2000
18982436812,ACLU,American Civil Liberties Union,1972
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,1923
85337666730,Republican Governors Association (RGA),REPUBLICAN GOVERNORS ASSOCIATION,1822
909371242735626,Carl 4 Congress,"CARL4CONGRESS, LLC",1776
104715815056151,Mike Ezell,Committee to Elect Mike Ezell,1767
1593518174052711,Candace Owens,Daily Wire,1739
1669941646417657,Senior Choice Financial,Andrea Marroquin,1669
256043277748645,NetChoice,NETCHOICE,1660
109791514174404,Homeland Insurance,Homeland Insurance,1608
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,1570
134498556891640,Val Demings,Val Demings for U.S. Senate,1565
115329801149952,Gulf Gathering for Climate Justice and Joy,Green New Deal Network,1556
100992801635617,Conservative-American.org,Conservative American Strategies,1445
385473284886474,Hillsdale College,Hillsdale College,1408
97279934919,bp America,BP CORPORATION NORTH AMERICA INC.,1386
100431764934534,Office of State Treasurer David McRae,Office of the Mississippi State Treasurer,1358
47710973068,Voices for Cooperative Power,Voices for Cooperative Power,1343
102155388790298,Affordable HealthCare,The Burial Solution,1269
6355071377,American Cancer Society Cancer Action Network - ACS CAN,AMERICAN CANCER SOCIETY CANCER ACTION NETWORK INC,1261
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",1196
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,1183
113553048669158,Rick Scott,RICK SCOTT FOR FLORIDA,1154
110666905614083,Dial,HENKEL CORP,1098
376776419037747,Turning Point USA,"Turning Point USA, Inc.",1042
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,1042
114720264544782,Moving Forward,Seniors Today USA,1010
1435071773455316,Daily Wire,The Daily Wire,1009
829786213807107,"SC Johnson, A Family Company","S. C. Johnson & Son, Inc.",1001
102122512290176,The Toney Family,Brandon Toney For Senate,997
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",983
6514736316,Walden University,Walden University,969
109681685006865,Affordable Health Savings,Braintrust Interactive,943
15771560300,Earthjustice,EARTHJUSTICE,934
2353537341582545,Proud Patriots,Proud Patriots,926
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,926
104760636770,Vera Institute of Justice,"VERA INSTITUTE OF JUSTICE, INC.",913
114008535880,Foundation for Individual Rights in Education,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,880
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,866
940653386126953,StandingWithYou.org,Standingwithyou.org,850
108258878290014,Stay Well Community Health Fairs,Stay Well Community Health Fairs,829
107005161695319,Herschel Walker,"TEAM HERSCHEL, INC.",802
570092813023833,Matt Walsh,The Daily Wire,789
197669827395385,Connected Commerce Council,Connected Commerce Council and American Edge Project,781
30914589895,The International Fellowship of Christians and Jews,INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS INC,771
692220144192046,Empower Mississippi,Empower Mississippi,767
42872222699,Dana Loesch,The Association of Mature American Citizens Inc,763
160513344045084,John Neely Kennedy,"John Kennedy for Us, Inc",735
