Page ID,Page name,Disclaimer,Amount spent (USD)
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,184572
441242156439675,Jessica Cisneros,Jessica Cisneros for Congress,115149
87186661244,Johns Hopkins Bloomberg School of Public Health,Johns Hopkins Bloomberg School of Public Health,108021
101828156534504,He Gets Us,He Gets Us LLC,96811
223055747744143,Beto O'Rourke,Beto for Texas,91392
100776719189544,Tell Congress: Don't Let China Pull Ahead,Taxpayers Protection Alliance,78509
25121889784,Texas Public Policy Foundation,Texas Public Policy Foundation,65905
127225910653607,PragerU,PragerU,59101
100722909218796,United Democracy Project,UNITED DEMOCRACY PROJECT,51251
46743242445,Green Mountain Energy Company,Green Mountain Energy,50462
19972147679,SEIU,SEIU,44042
203805062990264,Ben Shapiro,The Daily Wire,41744
405962819524364,Mike Collier,COLLIER COMMITTEE,37410
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",36414
134498556891640,Val Demings,Val Demings for U.S. Senate,36275
27544763621,Prison Fellowship,Prison Fellowship,34367
55549065733,Voto Latino,VOTO LATINO INC.,34293
101606802493036,Taking Care of SA,Taking Care of SA,31046
173517072696584,George P. Bush,George P Bush Campaign,30381
18982436812,ACLU,American Civil Liberties Union,28668
248922701788783,Henry Cuellar,TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,27303
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,26390
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",25468
1669941646417657,Senior Choice Financial,Andrea Marroquin,25443
104950742017496,Phil Sorrells for Tarrant County DA,Phil Sorrells for District Attorney,21303
470241276500901,Women Vote,WOMEN VOTE!,21255
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,20480
1593518174052711,Candace Owens,Daily Wire,20085
269317522200,Adrian Garcia,Adrian Garcia for Harris County Commissioner Precinct 2,19694
40217893542,AIPAC,AIPAC,19319
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,18721
385473284886474,Hillsdale College,Hillsdale College,18522
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,18308
101497941620428,MolinaCares,The MolinaCares Accord,17949
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",17582
40094923604,ACLU of Texas,American Civil Liberties Union,17351
181888625087,Greg Abbott,Texans for Greg Abbott,17198
102766768897346,Ben Chou for County Commissioner,Ben Chou for Texas,16932
263878310977179,Pete Flores for Texas Senate District 24,Pete Flores Campaign,16787
92925746942,Judicial Watch,Judicial Watch,15912
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,15753
106470774923973,Nomi Health,"Nomi Health, Inc.",15286
103546351703577,Dallas Express,The Dallas Express,15253
93188136312,Physicians for Reproductive Health,"PHYSICIANS FOR REPRODUCTIVE HEALTH, INC.",15203
289161024470532,OCA Greater Houston,OCA-GREATER HOUSTON,15201
69983322463,Ted Cruz,TED CRUZ FOR SENATE,15044
166833599370,USCCA,USCCA,15023
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,14457
108892551556386,Mano DeAyala For State Rep,Mano DeAyala for State Representative,14214
256043277748645,NetChoice,NETCHOICE,13716
109309905090649,Texans For Proposition 2,Texas REALTORS Issues PAC,13598
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,13564
105094247772548,Legacy 44,Legacy 44 PAC,13407
109544781549358,David Glasheen for State Representative HD 84,David Glasheen Campaign,13312
85337666730,Republican Governors Association (RGA),REPUBLICAN GOVERNORS ASSOCIATION,12976
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",12806
101751342363487,Michelle Vallejo for Congress,Michelle Valle for Congress,12697
1435071773455316,Daily Wire,The Daily Wire,12569
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,12206
110847698099863,Solarquote.org,"Lead Genesis, LLC",12031
20531316728,Facebook App,"Facebook, Inc.",11908
140357056032320,NEA Today,National Education Association,11754
181193385303176,Stephanie Klick,Stephanie Klick Campaign,11688
6514736316,Walden University,Walden University,11635
73102498136,Children's Health,Children's Health System of Texas,11292
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,11242
293523850799690,Dawn Buckingham,Dr. Dawn Buckingham,11150
