Page ID,Page name,Disclaimer,Amount spent (USD)
104530258866956,Stop the Corporate Online Gambling Prop,"Coalition for Safe, Responsible Gaming, Sponsored by California Indian Tribes. Committee major funding from: Pechanga Band of Indians, Yocha Dehe Wintun Nation, Agua Caliente Band of Cahuilla Indians. Funding Details at www.fppc.ca.gov",133892
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,73230
123450447708791,Energy Upgrade California,California Public Utilities Commission,64976
10128918116,Gavin Newsom,NEWSOM FOR CALIFORNIA GOVERNOR 2022,55324
238142787549374,Teddy Kapur,Teddy Kapur for City Attorney 2022,42789
168496243781414,Mayor Giselle Hale,Giselle Hale for Assembly 2022,41856
108617051499061,Ándale Qué Esperas,AltaMed Health Services,41347
102851832441142,Vote Schubert for Attorney General,Peace Officers Research Association of California (PORAC) Statewide Independent Expenditure Committee.,39877
100113545962506,Californians for Solutions to Homelessness and Mental Health Support,"Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies. Funding Details at www.fppc.ca.gov",38462
106575778297762,Yvonne Yiu for State Controller,Yvonne Yiu for State Controller 2022,36464
105308481683326,Nathan Hochman for Attorney General 2022,Nathan Hochman For Attorney General 2022,33784
106953981943902,No on Ventura Measures A and B,"Stop Measures A & B – A Coalition of Working Families for Jobs and Energy Independence, Supported by Energy Producers. Committee major funding from Aera Energy and Chevron.",32963
106568024842114,Rideshare Assault Support,Select Justice LLC,30204
100741402225790,Quaye Quartey for Congress,QUARTEY FOR CONGRESS,27262
9182608316,California Democratic Party,CALIFORNIA DEMOCRATIC PARTY,26548
108774614054683,American Edge Project,American Edge,22949
101445435512612,"Coalition for Public Safety Reform, Training and Transparency","Coalition for Public Safety Reform, Training and Transparency",22897
995045460505806,Sacramento Metropolitan Chamber PAC,Sacramento Metropolitan Chamber PAC,22858
134498556891640,Val Demings,Val Demings for U.S. Senate,21502
100945992520958,Rick Caruso,"Rick Caruso for Mayor 2022, 101 The Grove Drive, Los Angeles. Additional information is available at ethics.lacity.org.",21460
100945992520958,Rick Caruso,Rick Caruso for Mayor 2022,20946
127225910653607,PragerU,PragerU,18792
108887515128830,Communities United for Bass for L.A. Mayor 2022,Communities United for Bass for LA Mayor 2022,17636
102696611873936,Baytieh for Judge,Baytieh for Judge,17036
113778833499506,California Labor and Business Alliance,California Labor and Business Alliance,16965
106368917901920,Grow SF PAC,Coalition to Grow San Francisco - Grow SF PAC,15653
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,15205
239029093423,Dave Jones,Dave Jones for State Senate 2022,14685
195994800434559,San Manuel Band of Mission Indians,SAN MANUEL BAND OF MISSION INDIANS,14611
109092142462587,Adam Schiff,SCHIFF FOR CONGRESS,14028
115050083954556,Faisal Gill for Los Angeles City Attorney,Faisal Gill for Los Angeles City Attorney,13960
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,13739
103714308898952,Protect Our Future PAC,Protect Our Future PAC,13733
372922692828,SEIU-United Healthcare Workers West,SEIU United Healthcare Workers West Local 2005,13614
101129598841978,Terry Wiley for DA,Terry Wiley for District Attorney 2022,13058
227778385157,L.A. County Registrar-Recorder,The Los Angeles County Registrar-Recorder/County Clerk,12942
103373519004702,Environmental Solutions Coalition,Environmental Solutions Coalition,12918
166935370075867,Senator Brian Dahle,Brian Dahle for Governor 2022,12677
116059863420828,Sam Yebri For Los Angeles City Council,Sam Yebri For Los Angeles City Council 2022,12621
114197411271539,Brighter Chula Vista,"Residents for a Brighter Chula Vista, Supporting Amar Campa-Najar for Mayor 2022",12534
428821014132730,Katie Porter,Katie Porter For Congress,12244
111199351501480,David Shepard for Senate,Shepard for Senate 2022,12074
104412595557198,Shawn Nelson for Judge 2022 ID #1382825,Shawn Nelson for Judge,12000
101828156534504,He Gets Us,He Gets Us LLC,11773
351521204963267,County of San Mateo - Government,County of San Mateo,11013
100722909218796,United Democracy Project,UNITED DEMOCRACY PROJECT,10905
18982436812,ACLU,American Civil Liberties Union,10485
103579495612303,Protect Tribal Gaming,CALIFORNIANS FOR TRIBAL SOVEREIGNTY  SPONSORED BY THE SAN MANUEL BAND,10289
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,9931
100765221381239,Dawn Addis for the Central Coast,Dawn Addis for Assembly 2022,9513
8501031021,VoteVets.org,VOTEVETS,9432
110949144713656,Eunisses for City Council 2022,Eunisses Hernandez for City Council 2022,8755
107209354867129,Team Trimino,Anthony Trimino For Governor 2022,8743
1466899026667895,Housing Now,Housing Now,8487
1228396643984955,Michelle Steel,Michelle Steel for Congress,8470
139655806061955,Doug Chaffee for O.C. Supervisor,Doug Chaffee for Orange County District 4 Supervisor 2022,8345
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",8146
112190766925128,Marina A. Torres,Marina Torres for LA City Attorney,8091
228754857151053,House Majority PAC,House Majority PAC,8082
59744530932,Habitat for Humanity of Greater Los Angeles,HABITAT FOR HUMANITY OF GREATER LOS ANGELES,8009
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,7821
102261682386631,Roger Niello For California State Senate District 6,Roger Niello for Senate 2022,7694
109091404777130,Nick Melvoin for School Board,Nick Melvoin for School Board 2022,7666
104686911982045,Solar and Patio Pros,Energy Genesis Inc.,7638
110022477032429,Admiral Mike Franken,"MICHAEL FRANKEN FOR IOWA, INC",7291
140499052681592,Bank of the West,BANK OF THE WEST,7287
100577781332391,Steve Padilla,Steve Padilla for State Senate 2022,7086
1632814840319802,John Fetterman,Fetterman for PA,7031
84177291169,"Dairy Farmers of America, Inc.",DAIRY FARMERS OF AMERICA INC,7019
106922758429596,Ramit Varma for Mayor,VARMA FOR MAYOR 2022,7013
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,6853
46053668697,ACLU of Northern California,"AMERICAN CIVIL LIBERTIES UNION OF NORTHERN CALIFORNIA, INC.",6850
1812305765524944,Juan Carrillo,Juan Carrillo for Assembly 2022,6822
203805062990264,Ben Shapiro,The Daily Wire,6656
90461584470,Marc Levine,Friends of Marc Levine,6630
163684173651518,SEIU Local 2015,SEIU LOCAL 2015,6590
340645001925,San Diego County Democratic Party,San Diego County Democratic Party,6282
195564470605699,Mayor Yxstian Gutierrez,Gutierrez for Supervisor 2022,6246
103649072250430,Jessica Cha for Judge,Cha for OC Judge 2022,6169
596782207169904,Kenneth Mejia,"Mejia for City Controller 2022, FPPC ID#: 1435234",6113
110847698099863,Solarquote.org,"Lead Genesis, LLC",6111
201248453800242,My Pay My Say,Mackinac Center for Public Policy,6034
104184555633348,Cody Petterson for School Board,San Diego Education Association,6014
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,5872
118502801658228,Young Kim,Young Kim for Congress,5870
108248211758265,Bob Hertzberg for L.A. County Supervisor,Bob Hertzberg for Supervisor 2022,5817
119787175417064,Dr. Jen Campbell for San Diego City Council,Re-Elect Dr. Jen Campbell for City Council 2022,5812
1427689927492388,RNPA Union,REGISTERED NURSES PROFESSIONAL ASSOCIATATION,5793
112630550453402,Councilmember Avelino Valencia,Avelino Valencia for Assembly 2022,5746
176036105183,Los Angeles County Democratic Party,Los Angeles County Democratic Central Committee,5713
106687405264034,SEIU Community Clinic Workers United,SEIU Community Clinic Workers United,5695
20531316728,Facebook App,"Facebook, Inc.",5622
345649856136263,Matt Mahan for Mayor,Neighbors for Matt Mahan for Mayor 2022,5503
59637554563,County of San Diego - Government,County of San Diego - Government,5440
123548795009591,Henry Bouchot,Bouchot for Senate 2022,5390
105481261624253,David Giglio for Congress,GIGLIO FOR CONGRESS,5338
177977585588602,California Hospital Association,California Hospital Association,5321
72931140459,Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",5279
416879795094142,Kevin Jensen for Sheriff 2022,Kevin Jensen for Sheriff 2022,5174
101331215917241,MorenoforSupervisor,Working Families for Jaclyn Moreno for Sacramento County Supervisor 2022,5130
113006018065221,Dr. Cordie Williams,DRCORDIE4SENATE,5108
230459977132579,Suzie Price for Mayor 2022,Suzie Price for Mayor 2022,5008
100657592238049,Gil Cedillo For City Council,Cedillo for City Council 2022,4971
113255984133856,Joelle Gallagher for Napa County Supervisor,Joelle Gallagher For Supervisor,4964
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,4957
223055747744143,Beto O'Rourke,Beto for Texas,4907
1675724796069254,"Alex Villanueva, L.A. County Sheriff",Villanueva for Los Angeles County Sheriff 2022,4901
108035061792878,No on H - Stop the Republican Con,Friends of Chesa Boudin Opposing the Recall,4728
