Page ID,Page name,Disclaimer,Amount spent (USD)
87023326103,Kathy Hochul,Friends for Kathy Hochul,35447
112258312240526,Con Edison,"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",24479
113768033675093,Greater New York Hospital Association,"GREATER NEW YORK HOSPITAL ASSOCIATION, INC",14749
132066233534659,Healthcare Education Project,Healthcare Education Project,12324
6817812700,Lee Zeldin,Zeldin for New York,11809
108774614054683,American Edge Project,American Edge,10740
36474716066,Color Of Change,ColorofChange.org,10503
101828156534504,He Gets Us,He Gets Us LLC,10280
143055773143383,Patients For Affordable Drugs NOW,Patients for Affordable Drugs Now,9785
127225910653607,PragerU,PragerU,9748
134498556891640,Val Demings,Val Demings for U.S. Senate,9066
227594571444676,Building New York's Best,"Carpenter Contractor Alliance of Metropolitan New York, Inc.",8209
117270568319993,NYSUT - A Union of Professionals,New York State United Teachers,7576
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,6974
107904733908466,Securing Our Future,Securing Our Future,6919
192730325307,TobaccoFreeNYS,Tobacco Free New York State,6860
533987556776948,Campaign for Sustainable Rx Pricing,Campaign for Sustainable Rx Pricing,6572
206226362732803,Inspire Clean Energy,"Inspire Energy Holdings, LLC",6518
18982436812,ACLU,American Civil Liberties Union,6414
11791104453,NRDC,Natural Resources Defense Council,6085
110483698183711,Consumers For Fair Legal Funding,American Property Casualty Insurance Association,5836
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,5020
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,4977
356860853201,New York League of Conservation Voters,NEW YORK LEAGUE OF CONSERVATION VOTERS,4794
1632814840319802,John Fetterman,Fetterman for PA,4572
276015033095157,NYS DACC,DEMOCRATIC ASSEMBLY CAMPAIGN COMMITTEE,4396
20531316728,Facebook App,"Facebook, Inc.",4347
106656845034469,Smarter NY Energy,Smarter NY Energy,4224
345378512258813,Elise Stefanik,ELISE FOR CONGRESS,3946
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,3880
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,3871
7191206138,ASPCA,ASPCA,3703
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,3676
218319458301738,Rob Astorino,Friends of Rob Astorino,3609
170858066902487,Letitia James,James for NY,3604
103175021296846,Save Our Planet,Sahak Nalbandyan,3480
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,3401
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",3366
120945717945722,Uber,Uber,3057
110847698099863,Solarquote.org,"Lead Genesis, LLC",3038
228754857151053,House Majority PAC,House Majority PAC,2978
140357056032320,NEA Today,National Education Association,2927
104447088162443,Choose Healthy Life,Choose Healthy Life,2836
110022477032429,Admiral Mike Franken,"MICHAEL FRANKEN FOR IOWA, INC",2814
111824001908,Hakeem Jeffries,JEFFRIES FOR CONGRESS,2727
40217893542,AIPAC,AIPAC,2709
203805062990264,Ben Shapiro,The Daily Wire,2700
111394533709201,New Yorkers For Affordable Energy,New Yorkers for Affordable Energy,2667
113553048669158,Rick Scott,RICK SCOTT FOR FLORIDA,2623
