Page ID,Page name,Disclaimer,Amount spent (USD)
102652189120937,Stop Cheri Beasley,NRSC,25261
579945178720985,Cheri Beasley,CHERI BEASLEY FOR NORTH CAROLINA,24536
19972147679,SEIU,SEIU,20551
107483817554072,WorkMoney,WorkMoney,18305
104736168071731,Results For NC,"Results for NC, Inc.",16187
113578691341319,True Conservative Judges NC,True Conservative Judges,11343
313842111853,Patrick McHenry,McHenry For Congress,10536
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,10048
102586722249285,School Freedom Fund,SCHOOL FREEDOM FUND,9910
100722909218796,United Democracy Project,UNITED DEMOCRACY PROJECT,9269
17432811417,Working Families Party,Working Families Party National Political Action Committee,8244
116487955096504,Virginia Foxx for Congress,Virginia Foxx for Congress,7464
746211745534477,Nida Allam,NIDA FOR NC,7078
100998472605427,American Policy Coalition,American Policy Coalition,6965
127225910653607,PragerU,PragerU,6591
107606571940421,Freedom NC PAC,Freedom NC PAC,5589
103048587920360,DMFI PAC,DMFI PAC,5410
700806360047982,CFG Action,Club for Growth Action,5395
105096648830545,American Dream Federal Action,American Dream Federal Action. Not authorized by any candidate or candidate's committee.,5213
101828156534504,He Gets Us,He Gets Us LLC,5157
157759274279900,NC Department of Justice and Attorney General's Office,North Carolina Department of Justice,4915
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,4258
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,4241
487571108071357,Affordable Healthcare Coalition of NC,Affordable Healthcare Coalition of NC,4128
18982436812,ACLU,American Civil Liberties Union,3887
245711905631405,Jeff Jackson,JEFF JACKSON FOR CONGRESS,3394
234725646679655,State Senator Valerie Foushee,Foushee for Congress,3210
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,3000
134498556891640,Val Demings,Val Demings for U.S. Senate,2985
203805062990264,Ben Shapiro,The Daily Wire,2937
20531316728,Facebook App,"Facebook, Inc.",2859
110731831521539,Russo For NC,RUSSO FOR NC,2558
113553048669158,Rick Scott,RICK SCOTT FOR FLORIDA,2430
40102638699,J Street,J Street Action Fund,2418
1669941646417657,Senior Choice Financial,Andrea Marroquin,2205
40217893542,AIPAC,AIPAC,2202
27544763621,Prison Fellowship,Prison Fellowship,2113
100990702218119,Allen for North Carolina,Allen for North Carolina,2108
139095366100611,WilmingtonInsuranceQuotes.com,FENIX CONTRACTING INC,1979
17432811417,Working Families Party,Working Families Party National Independent Expenditure Committee,1944
118119545051756,Kirk DeViere - NC Senate,Kirk deViere Campaign Committee,1889
525142637502290,Sam Ervin,ERVIN FOR JUSTICE,1861
106884035062824,Carolina Federation PAC,Carolina Federation PAC,1771
1593518174052711,Candace Owens,Daily Wire,1763
114555887336933,Jeff Nieman for District Attorney,Nieman for District Attorney,1712
1483977658578577,Jasmine Beach-Ferrara,JASMINE BEACH-FERRARA FOR CONGRESS,1655
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,1623
6355071377,American Cancer Society Cancer Action Network - ACS CAN,AMERICAN CANCER SOCIETY CANCER ACTION NETWORK INC,1617
1460967490803132,Carolina Journal,JOHN LOCKE FOUNDATION INC,1577
100233228182981,Madison Cawthorn,CAWTHORN FOR NC,1557
575433809214892,Lorrin Freeman,Lorrin Freeman for District Attorney,1556
92925746942,Judicial Watch,Judicial Watch,1527
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,1516
178934048813608,North Carolina Values Coalition,North Carolina Values Coalition,1485
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",1484
1600352356914768,PushBlack,PushBlack,1423
385473284886474,Hillsdale College,Hillsdale College,1360
450452275749102,Billy Strickland for Congress,BILLY STRICKLAND COMMITTEE,1348
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,1319
140357056032320,NEA Today,National Education Association,1313
104035672160984,Brent for Congress,BRENT ROBERSON FOR CONGRESS,1306
570092813023833,Matt Walsh,The Daily Wire,1303
1632814840319802,John Fetterman,Fetterman for PA,1271
103552914774916,Science Moms,Potential Energy Coalition Inc,1265
87186661244,Johns Hopkins Bloomberg School of Public Health,Johns Hopkins Bloomberg School of Public Health,1255
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,1199
387443414782721,Justin Outling,Vote Outling,1182
114008535880,Foundation for Individual Rights in Education,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,1179
631570717331198,Working to Fight AMR,BIOTECHNOLOGY INNOVATION ORGANIZATION,1154
571663706357906,Larken Egleston - Charlotte City Council,Committee to Elect Larken Egleston,1151
110450184904521,Donnie Harrison 2022,Citizens for Donnie Harrison,1149
802271849850801,Freedom for All Americans,Freedom for All Americans,1126
110022477032429,Admiral Mike Franken,"MICHAEL FRANKEN FOR IOWA, INC",1113
174626401646,Senator Ralph Hise,RALPH HISE FOR NC SENATE,1111
48049744053,Food Bank of Central & Eastern North Carolina,"FOOD BANK OF CENTRAL & EASTERN NORTH CAROLINA, INC.",1106
228754857151053,House Majority PAC,House Majority PAC,1069
214821605377109,Stacey Abrams,Stacey Abrams for Governor,1063
106829761711501,Beth Stockwell for Judge,Beth Stockwell for Judge,1036
103111815086037,Bo Hines,BO HINES FOR CONGRESS,1030
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",1024
104099468791640,Brad Murphy for Congress,Brad Murphy for Congress,997
15771560300,Earthjustice,EARTHJUSTICE,982
109321697442806,NC League of Conservation Voters Foundation,These ads ran without a disclaimer,975
108380923919757,Health Insurance Hero,Health Insurance Hero,963
1160402440717928,Richard L Watkins,DR. RICHARD WATKINS FOR CONGRESS,957
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,951
6514736316,Walden University,Walden University,948
1435071773455316,Daily Wire,The Daily Wire,937
114625730266879,The Republican Accountability Project,Defending Democracy Together,908
376776419037747,Turning Point USA,"Turning Point USA, Inc.",903
423056308431667,Representative Jake Johnson,Committee to Elect Jake Johnson,891
85337666730,Republican Governors Association (RGA),REPUBLICAN GOVERNORS ASSOCIATION,882
287916655036270,ET Mitchell,Citizens to Elect ET Mitchell,879
100741389251965,Thrive NC,Working Families Party National Political Action Committee,850
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,834
1552675688372326,Color Of Change PAC,Color Of Change PAC,828
192328200861085,"Frederick X Ravin III, MBA, MIS",Ravin Committee,808
1434770523406284,Sarah Crawford,Sarah For NC,802
106027058140745,Steve Miller for Congress,STEVE MILLER FOR CONGRESS,786
