Page ID,Page name,Disclaimer,Amount spent (USD)
1023516414456183,Drain the DC Swamp PAC,DRAIN THE DC SWAMP PAC,6586
1387400564843120,Americans for Prosperity - South Dakota,AMERICANS FOR PROSPERITY,6196
100776719189544,Tell Congress: Don't Let China Pull Ahead,Taxpayers Protection Alliance,3929
63002536261,John Thune,FRIENDS OF JOHN THUNE,2156
101821325761870,South Dakotans for Fair Elections,SOUTH DAKOTANS FOR FAIR ELECTIONS,1796
108869371614890,Steve Haugaard,Haugaard for Governor,1486
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",1217
109949628369320,SD Strong PAC,South Dakota Strong Pac,883
109520054693011,Trump Updates,Save America Joint Fundraising Committee,812
115985765081573,Campaign Legal Center,"CAMPAIGN LEGAL CENTER, INC, THE",626
105292222075376,Tony for South Dakota,Friends of Tony Venhuizen,626
1670801766300364,Joel Arends for Lincoln County Commission,Joel Alan Arends,598
108774614054683,American Edge Project,American Edge,521
127225910653607,PragerU,PragerU,470
256043277748645,NetChoice,NETCHOICE,468
102558898865449,Don't Break What Works,COMPUTER & COMMUNICATIONS INDUSTRY ASSOCIATION,339
203805062990264,Ben Shapiro,The Daily Wire,331
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,329
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,262
101828156534504,He Gets Us,He Gets Us LLC,257
106511001004935,Casey Crabtree for SD Senate,Crabtree for SD,241
18982436812,ACLU,American Civil Liberties Union,240
362926986863,Dusty Johnson for Congress,FRIENDS OF DUSTY JOHNSON,239
191195674423572,Great Plains Tribal Leaders Health Board,GREAT PLAINS TRIBAL CHAIRMEN'S HEALTH BOARD,237
107716181812392,Amber Arlint for SD House,Amber Arlint for SD House,227
111312611495670,Curt Massie for SD House District 33,Curt Massie for SD,224
140357056032320,NEA Today,National Education Association,223
107075448568580,"Pinnow for House-Butte County, Harding County and Northern Perkins County",Pinnow for House,218
1593518174052711,Candace Owens,Daily Wire,201
113553048669158,Rick Scott,RICK SCOTT FOR FLORIDA,200
106804357595016,Richard Thomason for South Dakota District 13,Richard Thomason for South Dakota,198
570092813023833,Matt Walsh,The Daily Wire,195
109214993243,South Dakota Republican Party,South Dakota Republican Party,183
20531316728,Facebook App,"Facebook, Inc.",179
385473284886474,Hillsdale College,Hillsdale College,163
92925746942,Judicial Watch,Judicial Watch,161
105642572080212,Sheri Lund For Lincoln County Auditor,Sheri Lund For Lincoln County Auditor,154
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,147
134498556891640,Val Demings,Val Demings for U.S. Senate,144
40217893542,AIPAC,AIPAC,141
27544763621,Prison Fellowship,Prison Fellowship,141
101804019136707,Wendi Hogan for Lincoln County District 1 Commission,Wendi Hogan for Lincoln County District 1 Commission,135
108898301636676,Schoenbeck for House,Schoenbeck for House,134
103640025552987,Lisa Rave for Senate,Lisa Rave for Senate,129
1435071773455316,Daily Wire,The Daily Wire,126
108151015089097,Rick Rylance for SD House,Rick Rylance For SD House,121
87186661244,Johns Hopkins Bloomberg School of Public Health,Johns Hopkins Bloomberg School of Public Health,119
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,118
77130778113,Coalition for Medicare Choices,The Coalition for Medicare Choices,115
140499052681592,Bank of the West,BANK OF THE WEST,112
102095125641253,Tyler Tordsen for District 14 House,Tyler Tordsen for SD,110
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",107
108367320830563,Jessica Bahmuller for District 19,Bahmuller4SD,102
104741565498639,Steve Kolbeck For District 2 Senate,Kolbech For South Dakota,101
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,≤100
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,≤100
103366055695456,Jamie Giedd for SD House 32,Giedd for SD House,≤100
51405613519,Focus on the Family,Focus on the Family,≤100
85337666730,Republican Governors Association (RGA),REPUBLICAN GOVERNORS ASSOCIATION,≤100
15771560300,Earthjustice,EARTHJUSTICE,≤100
104385402104605,Rachel Dix for SD Senate,Rachel Dix for South Dakota,≤100
114008535880,Foundation for Individual Rights in Education,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,≤100
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,≤100
228754857151053,House Majority PAC,House Majority PAC,≤100
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,≤100
101715132414796,Ben Kyte for Minnehaha Auditor,Vote Ben Kyte,≤100
1024399217596322,Tom Pischke SD Senate - District 25,Pischke for SD,≤100
108614877494379,Breitling for Senate,Breitling For Senate,≤100
201248453800242,My Pay My Say,Mackinac Center for Public Policy,≤100
102946533154278,"Chris Nelson, South Dakota PUC",Nelson for SD,≤100
100289605857598,United Solutions,United Solutions,≤100
1004492946307528,"Representative Spencer Gosch, District 23",Spencer Ray Gosch,≤100
104368660917754,Will Mortenson for District 24,Friends of Will Mortenson,≤100
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,≤100
110022477032429,Admiral Mike Franken,"MICHAEL FRANKEN FOR IOWA, INC",≤100
318196171580489,Ron DeSantis,Friends of Ron DeSantis,≤100
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",≤100
108380923919757,Health Insurance Hero,Health Insurance Hero,≤100
418052778628641,Pat West for Meade County Sheriff,Pat West For Sheriff,≤100
103839262152557,Jesse Fonkert for District 9,Fonkert for South Dakota,≤100
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,≤100
49651563727,Live Action,Live Action,≤100
110625020543048,Taylor Rehfeldt For House,Friends of Taylor Rehfeldt,≤100
108614877494379,Breitling for Senate,Bryan James Breitling,≤100
1632814840319802,John Fetterman,Fetterman for PA,≤100
11791104453,NRDC,Natural Resources Defense Council,≤100
42872222699,Dana Loesch,The Association of Mature American Citizens Inc,≤100
345378512258813,Elise Stefanik,ELISE FOR CONGRESS,≤100
170623746891590,Carl Perry for State House,Carl Perry for SD House,≤100
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,≤100
369309166748535,Derek Utley,Tomer Barazani,≤100
100992801635617,Conservative-American.org,Conservative American Strategies,≤100
2353537341582545,Proud Patriots,Proud Patriots,≤100
111581611450644,Sauder for House,Sauder for House,≤100
856489977829951,David Johnson,David Johnson for SD,≤100
69768141104,Education Evolving,EDUCATION EVOLVING,≤100
829786213807107,"SC Johnson, A Family Company","S. C. Johnson & Son, Inc.",≤100
443329669123990,USAFacts,USAFacts Institute,≤100
103565195134756,America First Policy Institute,America First Policy Institute,≤100
428821014132730,Katie Porter,Katie Porter For Congress,≤100
114710126648118,Republican Dogs,Republican Dogs,≤100
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,≤100
1883837055193241,Shield Republic,Shield Republic,≤100
450292965004826,Senator Al Novstrup,Novstrup for State Senate,≤100
158791100909689,Concerned Veterans for America,Concerned Veterans for America,≤100
73528878871,Center for Reproductive Rights,Center for Reproductive Rights,≤100
83290028957,Care Net,CARE NET,≤100
43287633515,Action for the Climate Emergency,Action for the Climate Emergency,≤100
197908256931216,Tim Ryan,TIM RYAN FOR OHIO,≤100
20787991568,Senate Democrats,DSCC,≤100
2097536187144502,Dan Klimisch,Daniel John Klimisch,≤100
2602473023098666,Democratic Polling Center,Democratic Governors Association,≤100
101564054951838,We The Forest,We The Forest,≤100
1517520635222489,Doug Post for SD House District 7,Doug Post for District 7,≤100
305380096638473,Charles Booker,Booker for Kentucky,≤100
108048145191689,Jeff Bathke-District 20 House of Representatives,Jeffery Alan Bathke,≤100
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,≤100
107014914898069,e.pluribus.US,e.pluribus.US,≤100
112425441094454,The Art of the Tweet,The Art of the Tweet LLC,≤100
30914589895,The International Fellowship of Christians and Jews,INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS INC,≤100
100969882475459,Alex Hixon for Lincoln County Commissioner,Alex Hixon for Lincoln County,≤100
223055747744143,Beto O'Rourke,Beto for Texas,≤100
100146652437834,Life is For Thriving,Life is For Thriving,≤100
112642477582238,Mericanaf,AAF Nation,≤100
121268821249550,World Central Kitchen,World Central Kitchen,≤100
22067606728,Allen West,The Association of Mature American Citizens Inc,≤100
72931140459,Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",≤100
441242156439675,Jessica Cisneros,Jessica Cisneros for Congress,≤100
109396544993347,Save America,Future Tech Product,≤100
376776419037747,Turning Point USA,"Turning Point USA, Inc.",≤100
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,≤100
104295601633638,American Cornerstone Institute,American Cornerstone Institute Inc,≤100
106374881998173,Jennifer Carnahan for Congress,Jennifer Carnahan for Congress,≤100
571748412859876,Matt Rosendale,Matt Rosendale for Montana,≤100
12375354406,USO,United Service Organizations,≤100
1361240077226182,Seth Weathers,Michael Seth Weathers,≤100
104482068838353,Pat Baumann for South Dakota State Representative,Pat Baumann for SD House,≤100
110177119192569,Knightscope,"Knightscope, Inc.",≤100
101118515905454,Blue Collar Candidate,These ads ran without a disclaimer,≤100
25852730092,Care2,"Care2.com, Inc",≤100
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,≤100
100442169287273,"Jon Cole for Mayor - Vermillion, SD",Jonathan David Cole,≤100
1958912674200535,The Pour Over,Pour Over,≤100
230988470609704,Chris Karr For House,Chris Karr for South Dakota,≤100
107188581967105,Andy Schaunaman for City Council,Schaunaman for Council,≤100
200650357207240,I Love My Freedom,I Love My Freedom,≤100
74671163356,Smithsonian Channel,VIACOM INTERNATIONAL INC.,≤100
156968474833352,Stop Republicans,Stop Republicans,≤100
106568024842114,Rideshare Assault Support,Select Justice LLC,≤100
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC",≤100
54172246106,Rand Paul,RAND PAUL FOR US SENATE,≤100
6514736316,Walden University,Walden University,≤100
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,≤100
107005161695319,Herschel Walker,"TEAM HERSCHEL, INC.",≤100
115613890351673,Screaming Freedom Apparel,Screaming Freedom Apparel,≤100
290548664672,First Liberty,First Liberty Institute,≤100
100717098661440,Centered: Technology news from the Midwest,FRESH ENERGY,≤100
429743227086561,Citizens for Hoffman,Citizens for Hoffman,≤100
169597416843751,Stand Up America,Stand Up America,≤100
7341997111,Conservation International,Conservation International,≤100
107391351117812,National Women's Law Center Action Fund,National Women's Law Center Action Fund,≤100
109533848331620,Jon Boon McNutt - Candidate for City Council,Jonathan Boon Mcnutt,≤100
219242560293,Meals on Wheels America,Meals on Wheels,≤100
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",≤100
8492293163,Environmental Defense Fund,Environmental Defense Fund,≤100
105187792156265,Erin Fouberg for Aberdeen City Council - SD,Erin Fouberg,≤100
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,≤100
1780867608827439,H Fisk Johnson,"S. C. Johnson & Son, Inc.",≤100
124955570892789,Bernie Sanders,Friends of Bernie Sanders,≤100
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,≤100
1949064322040283,Principles,"Principles, LLC",≤100
585942765164217,Elect Democratic Women,ELECT DEMOCRATIC WOMEN,≤100
102413723172970,Nick Adams,Nick Adams,≤100
114720264544782,Moving Forward,Seniors Today USA,≤100
224779367915009,Tim Reed - SD District 7 House,Tim Reed for District 7 House,≤100
580610428636345,Fight for $15,Fight for $15,≤100
104760636770,Vera Institute of Justice,"VERA INSTITUTE OF JUSTICE, INC.",≤100
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,≤100
34370387440,JDRF,JDRF INTERNATIONAL,≤100
38235851310,USA for UNHCR,United States Association for UNHCR with Facebook ad credits,≤100
214821605377109,Stacey Abrams,Stacey Abrams for Governor,≤100
89660729827,National Wildlife Federation Action Fund,NATIONAL WILDLIFE FEDERATION ACTION FUND,≤100
406456986070332,Matt Gaetz,Friends of Matt Gaetz,≤100
121268821249550,World Central Kitchen,WORLD CENTRAL KITCHEN INC,≤100
104673965019490,Growing Almonds,ALMOND BOARD OF CALIFORNIA,≤100
10803722213,Common Cause,COMMON CAUSE,≤100
100684991996307,November Coalition,NOVEMBER COALITION,≤100
58736997707,Marco Rubio,Marco Rubio for Senate,≤100
314499212242,Pfizer,Pfizer Inc.,≤100
110802018262856,Freedom Ringing,Hot Review Products,≤100
67626834312,National Women's Law Center,National Women's Law Center,≤100
128067600545091,Coalition for a Prosperous America,"COALITION FOR A PROSPEROUS AMERICA EDUCATION FUND, INC.",≤100
23875187730,Feeding America,Feeding America,≤100
115379705206001,U.S. Department of Homeland Security Blue Campaign,U.S Department of Homeland Security Blue Campaign,≤100
166618413413767,Jay Sekulow,American Center for Law and Justice,≤100
1428755447227803,Defend The Second,Next Level Goods,≤100
206677396413254,Abortion On Our Own Terms,Abortion On Our Own Terms,≤100
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,≤100
21375324480,The Heritage Foundation,HERITAGE FOUNDATION (THE),≤100
248181906078243,National Institute for Civil Discourse,CommonSense American,≤100
107756288482790,Michael Rothschadl Candidate for Yankton County Sheriff,Rothschadl4Yankton County Sheriff,≤100
681626158940626,Mission Roll Call,Americas Warrior Partnership,≤100
102756178175858,Drury for District 32,Drury for District 32,≤100
105954131625978,South Dade Logistics and Technology District,Coral Rock Development Group,≤100
300992409852,Hoover Institution,Hoover Institution,≤100
91346559231,Democratic Legislative Campaign Committee - DLCC,Democratic Legislative Campaign Committee,≤100
6204742571,Sierra Club,SIERRA CLUB,≤100
51379424899,Mercy Ships,MERCY SHIPS INTERNATIONAL,≤100
673117639774135,Gretchen Whitmer,Gretchen Whitmer for Governor,≤100
349068689306,Tim Scott,Tim Scott for Senate,≤100
1374134752633656,New Health Plans,Shop Insurance Plans,≤100
100122859296204,God - Family - Country,Red Wave Store,≤100
83996318078,Change.org,"Change.org, PBC",≤100
47710973068,Voices for Cooperative Power,Voices for Cooperative Power,≤100
134535726580904,Maggie Hassan,Maggie for NH,≤100
107037438378143,Lead With Gratitude,My Free 2nd Amendment Books,≤100
187005858017014,Climate Power,Climate Power,≤100
108268161352786,Stanley M. Herzog Foundation,Herzog Foundation,≤100
309308412520731,Sandy Hook Promise,Sandy Hook Promise,≤100
195530355493,Chicks On The Right,The Association of Mature American Citizens Inc,≤100
1601591333468856,Sue Peterson for District 13 House,Sue Peterson for District 13,≤100
184436331580348,Quake Media,Villanova Media Inc. dba Quake Media,≤100
13885075114,Action Against Hunger USA,ACTION AGAINST HUNGER - USA,≤100
557051651115624,Stidham Financial Services,Stidham Financial Services,≤100
248262725706461,Power The Future,Power The Future Inc,≤100
376638603087168,Save The Earth,8 Billion Trees LLC,≤100
198024590300902,Josh Shapiro,Josh Shapiro,≤100
230201093693895,Betsy Johnson,Run Betsy Run,≤100
24470472733,The Trevor Project,The Trevor Project,≤100
105464364530078,Dan Andersson for SD senate,Dan Ingvar Kerner Andersson,≤100
24481937944,Theodore Roosevelt Conservation Partnership,"THEODORE ROOSEVELT CONSERVATION PARTNERSHIP, INC",≤100
297987334762,Jamie Raskin,Jamie Raskin for Congress,≤100
1575347412785991,cheddar news,Cheddar News,≤100
679171239164792,Supermajority,Supermajority,≤100
154561574598964,White Coat Waste Project,THE WHITE COAT WASTE PROJECT INC,≤100
135298176481584,Marine Corps Scholarship Foundation,Marine Corps Scholarship Foundation,≤100
80562389320,NARAL Pro-Choice America,NARAL PRO-CHOICE AMERICA CORP,≤100
57495285387,Michael Bennet,Bennet for Colorado,≤100
35169196082,Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",≤100
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,≤100
105148578683703,Kyle Rittenhouse,AAF Nation,≤100
23790541544,Democrats,DCCC,≤100
100692068471118,Explain America,Apse Media LLC,≤100
50982313030,Food & Water Watch,Food & Water Watch,≤100
142161905817424,AMAC - The Association of Mature American Citizens,The Association of Mature American Citizens Inc,≤100
114625730266879,The Republican Accountability Project,Defending Democracy Together,≤100
108534121652566,Internet For Growth,"Interactive Advertising Bureau, Inc.",≤100
103890201865069,Joe Lombardo for Governor,Lombardo for Governor,≤100
101704558574021,Lucas Kunce,Lucas Kunce for Missouri,≤100
46093654473,National Republican Congressional Committee,NRCC,≤100
106568024842114,Rideshare Assault Support,Injury Match,≤100
197669827395385,Connected Commerce Council,Connected Commerce Council and American Edge Project,≤100
53541257714,The Arc of the United States,"ARC OF THE UNITED STATES, INC., THE",≤100
104707108563822,RM Offcial USA,The Red Mafia,≤100
114167895375664,Cherokee Nation,"CHEROKEE NATION, THE",≤100
253312980194,Community Catalyst,COMMUNITY CATALYST INC,≤100
134452023239984,Human Coalition,Human Coalition,≤100
6502038524,First Book,FIRST BOOK,≤100
266344180585578,Jim Jordan for Congress,JIM JORDAN FOR CONGRESS,≤100
1869687273277265,Run for Something,Run For Something PAC,≤100
107204205209512,Jeff Kollars for Brookings County Sheriff,Jeff Kollars for Sheriff,≤100
393052450830634,Razom for Ukraine,"RAZOM, INC.",≤100
59877921429,Lutheran Immigration and Refugee Service,"LUTHERAN IMMIGRATION AND REFUGEE SERVICE, INC.",≤100
13365227077,Planned Parenthood Advocates of Wisconsin,Planned Parenthood Advocates of Wisconsin,≤100
828902563856302,Chuck Schumer D-NY,FRIENDS OF SCHUMER,≤100
38897314734,Trust for Public Land,"TRUST FOR PUBLIC LAND, THE",≤100
167586229923327,World Food Program USA,World Food Program USA,≤100
172298889630363,Republican Attorneys General Association,REPUBLICAN ATTORNEYS GENERAL ASSOCIATION,≤100
91642297490,American Association for Justice,American Association for Justice,≤100
489151041277148,FirstNet Authority,First Responder Network Authority,≤100
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",≤100
18079407397,CPAC 2022,AMERICAN CONSERVATIVE UNION,≤100
117437204982602,American Wild Horse Campaign,American Wild Horse Preservation Campaign,≤100
817567028361575,The Halcyon Movement,The halcyon movement,≤100
317284821682168,Messianic Jewish Alliance of America (MJAA),Messianic Jewish Alliance of America,≤100
203197030603239,8 Billion Trees,8 Billion Trees LLC,≤100
542678889114683,The Coca-Cola Company,The Coca-Cola Company,≤100
109295990419284,Esther For Congress,ESTHER FOR CONGRESS,≤100
103375628943529,Adam Frisch,Adam for Colorado,≤100
100392931351292,Northwest RiverPartners,Northwest RiverPartners,≤100
135332839847855,Abortion Care Network,ABORTION CARE NETWORK,≤100
359477377917,American Federation for Children,American Federation for Children,≤100
15041226930,Oxfam,"OXFAM AMERICA, INC.",≤100
8325302025,Friends of the Earth U.S.,Friends of the Earth,≤100
7263476274,Mercy Corps,Mercy Corps,≤100
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,≤100
11111618026,Union of Concerned Scientists,"UNION OF CONCERNED SCIENTISTS, INC.",≤100
7292655492,MoveOn,MOVEON.ORG CIVIC ACTION,≤100
30139072158,CARE,"COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE, INC. (CARE)",≤100
101252415820183,Veterans Choice,Tech Review Products,≤100
546643589052271,Sarah Godlewski,Sarah for Wisconsin,≤100
103531607822207,Noticias para Inmigrantes,"Wise Rock Media, PBC",≤100
471928596287830,Brian Mast,Mast for Congress,≤100
101015385848052,Krohmer for State House,Krohmer for SD,≤100
398757490729,The National Network to End Domestic Violence,"NATIONAL NETWORK TO END DOMESTIC VIOLENCE, INC.",≤100
40973310753,Pathfinder International,Pathfinder International,≤100
70874333603,CatholicVote,catholicvote.org,≤100
302182941354,AARP Advocates,AARP,≤100
367292494407,AJC - American Jewish Committee,AMERICAN JEWISH COMMITTEE,≤100
101922748750414,BRAVE Books,Brave Books LLC,≤100
160513344045084,John Neely Kennedy,"John Kennedy for Us, Inc",≤100
118303441570966,Homeowner Smart,NATIONAL ASSOCIATION OF REALTORS,≤100
106315901551850,The U.S. Concealed Carry Association for Saving Lives,U.S. Concealed Carry Association For Saving Lives. Not Authorized By Any Candidate Or Candidate's Committee.,≤100
294508332028,Lakota People's Law Project,ROMERO INSTITUTE,≤100
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,≤100
104491841664875,Adam Kinzinger,Future First Leadership PAC,≤100
579945178720985,Cheri Beasley,CHERI BEASLEY FOR NORTH CAROLINA,≤100
116546288359245,Heritage Action for America,HERITAGE ACTION FOR AMERICA,≤100
219612384781411,Bloomberg Philanthropies,Bloomberg Philanthropies,≤100
291102898490822,Conservative Comedy Store,Conservative Comedy Store,≤100
7191206138,ASPCA,ASPCA,≤100
69983322463,Ted Cruz,TED CRUZ FOR SENATE,≤100
95790000888,Life Issues Institute,Life Issues Institute Inc,≤100
104448208885922,SSDI Help Guide,Better Content Agency LLC,≤100
210820618956311,Community Change Action,Community Change Action,≤100
375742685850856,Firearms Policy Coalition,"FIREARMS POLICY COALITION, INC.",≤100
7860876103,Joe Biden,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,≤100
110324921553303,Words 4 Fun,These ads ran without a disclaimer,≤100
158337134192979,Career Education Colleges and Universities,Career Education Colleges and Universities,≤100
9538894955,John F. Kennedy Presidential Library and Museum,"John Fitzgerald Kennedy Library Foundation, Inc.",≤100
102412825576962,Welcome Donald Trump,Red Wave Store,≤100
34701792581,EWTN,"ETERNAL WORD TELEVISION NETWORK, INC.",≤100
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",≤100
