Page ID,Page name,Disclaimer,Amount spent (USD)
187709361276697,Virgin Islands Housing Finance Authority (VIHFA),Virgin Islands Housing Finance Authority,≤100
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100
290980968206977,GameDay News,These ads ran without a disclaimer,≤100
102040279188611,Support Ukrainians WW,These ads ran without a disclaimer,≤100
1238173096287495,Azur Games,These ads ran without a disclaimer,≤100
200990963441531,Boredom Therapy,These ads ran without a disclaimer,≤100
719853864726295,Mindvalley,These ads ran without a disclaimer,≤100
102567386503340,Ed Young,These ads ran without a disclaimer,≤100
158714780827513,UNFPA,These ads ran without a disclaimer,≤100
125958377483964,Dune,These ads ran without a disclaimer,≤100
