Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
101828156534504,He Gets Us,He Gets Us LLC,3294617,1258
107483817554072,WorkMoney,WorkMoney,2263874,471
87186661244,Johns Hopkins Bloomberg School of Public Health,Johns Hopkins Bloomberg School of Public Health,2034546,374
103739458754360,CNN+,"WarnerMedia, LLC",1984601,152
127225910653607,PragerU,PragerU,1970822,2433
102558898865449,Don't Break What Works,COMPUTER & COMMUNICATIONS INDUSTRY ASSOCIATION,1907696,1001
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,1782376,3426
100776719189544,Tell Congress: Don't Let China Pull Ahead,Taxpayers Protection Alliance,1381265,1611
18982436812,ACLU,American Civil Liberties Union,1305803,2222
134498556891640,Val Demings,Val Demings for U.S. Senate,1289762,681
123450447708791,Energy Upgrade California,California Public Utilities Commission,1275467,285
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",1242766,367
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,1241055,755
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,1102693,266
108774614054683,American Edge Project,American Edge,868294,257
203805062990264,Ben Shapiro,The Daily Wire,867590,226
1435071773455316,Daily Wire,The Daily Wire,864164,494
105783027731211,A Better Arizona,Priorities USA and Majority Forward,847275,260
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,777123,606
113566851235380,Our Power is Us,Priorities USA,763948,116
40217893542,AIPAC,AIPAC,759161,632
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",739159,1503
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,714928,781
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,702879,1050
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,694636,3260
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,694575,71
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,676193,92
104168485489436,Irvin/Bourne For Illinois,Irvin for Illinois,674007,566
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,666000,138
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,644544,1529
103714308898952,Protect Our Future PAC,Protect Our Future PAC,641261,252
256043277748645,NetChoice,NETCHOICE,625542,1098
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,615646,440
1593518174052711,Candace Owens,Daily Wire,585039,200
110022477032429,Admiral Mike Franken,"MICHAEL FRANKEN FOR IOWA, INC",579516,1057
92925746942,Judicial Watch,Judicial Watch,576864,299
223055747744143,Beto O'Rourke,Beto for Texas,553432,3972
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,538677,2151
192448150001,Jeff Anderson & Associates,"Jeff Anderson & Associates, P.A.",520332,810
385473284886474,Hillsdale College,Hillsdale College,518313,368
100945992520958,Rick Caruso,Rick Caruso for Mayor 2022,517978,27
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",511279,328
214821605377109,Stacey Abrams,Stacey Abrams for Governor,495926,2764
108617051499061,Ándale Qué Esperas,AltaMed Health Services,494745,300
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",463219,183
228754857151053,House Majority PAC,House Majority PAC,456604,259
109932934853609,Yes For Massachusetts Drivers,Flexibility and Benefits for Massachusetts Drivers,452380,87
97279934919,bp America,BP CORPORATION NORTH AMERICA INC.,443956,75
105576028300637,Building Back Together,Building Back Together,438468,630
1470540296409810,Fair Fight Action,FAIR FIGHT,433497,51
140499052681592,Bank of the West,BANK OF THE WEST,429929,146
197908256931216,Tim Ryan,TIM RYAN FOR OHIO,426854,959
27544763621,Prison Fellowship,Prison Fellowship,418692,964
107005161695319,Herschel Walker,"TEAM HERSCHEL, INC.",404436,649
1632814840319802,John Fetterman,Fetterman for PA,404312,2408
156994304362574,American Bridge 21st Century,AMERICAN BRIDGE 21ST CENTURY,402238,294
1470540296409810,Fair Fight Action,"Fair Fight Action, Inc.",383605,49
108824017345866,Meta,Facebook Inc.,379280,56
11791104453,NRDC,Natural Resources Defense Council,372759,1354
143055773143383,Patients For Affordable Drugs NOW,Patients for Affordable Drugs Now,359168,132
100722909218796,United Democracy Project,UNITED DEMOCRACY PROJECT,356270,68
160513344045084,John Neely Kennedy,"John Kennedy for Us, Inc",350566,134
7192716362,Amnesty International USA,"AMNESTY INTERNATIONAL OF THE U. S. A., INC.",345162,1153
114008535880,Foundation for Individual Rights in Education,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,325275,207
106568024842114,Rideshare Assault Support,Select Justice LLC,319587,16
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,319334,329
1669941646417657,Senior Choice Financial,Andrea Marroquin,315856,894
209516845093,NRDC Action Fund,NRDC Action Fund,312337,332
15771560300,Earthjustice,EARTHJUSTICE,310614,538
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,308452,384
100113545962506,Californians for Solutions to Homelessness and Mental Health Support,"Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies. Funding Details at www.fppc.ca.gov",307116,10
30914589895,The International Fellowship of Christians and Jews,INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS INC,301776,261
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,299219,15096
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",296435,191
46093654473,National Republican Congressional Committee,NRCC,294174,620
302182941354,AARP Advocates,AARP,294087,28
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,293018,58
112258312240526,Con Edison,"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",289213,37
570092813023833,Matt Walsh,The Daily Wire,280323,106
108715768240523,Citizens Bulletin,House Majority Forward,280062,173
107456714922179,Grid,Grid News,277471,341
118714808054,Mi Familia Vota,Mi Familia Vota,274800,18
428821014132730,Katie Porter,Katie Porter For Congress,274605,1965
201248453800242,My Pay My Say,Mackinac Center for Public Policy,262125,96
9324910069,NRSC,NRSC,254655,1117
1338822066131069,Women's March,Women's March,253956,612
140357056032320,NEA Today,National Education Association,250652,188
431891506856669,Dove,Unilever,248958,41
106667474170866,A Better Wisconsin Together,"A Better Wisconsin Together, Inc.",246847,402
42872222699,Dana Loesch,The Association of Mature American Citizens Inc,244008,58
85337666730,Republican Governors Association (RGA),REPUBLICAN GOVERNORS ASSOCIATION,243391,219
121268821249550,World Central Kitchen,WORLD CENTRAL KITCHEN INC,239665,60
132066233534659,Healthcare Education Project,Healthcare Education Project,238156,16
19972147679,SEIU,SEIU,235397,233
35169196082,Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",235198,815
100992801635617,Conservative-American.org,Conservative American Strategies,235046,49
69983322463,Ted Cruz,TED CRUZ FOR SENATE,235044,61
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,234528,382
206226362732803,Inspire Clean Energy,"Inspire Energy Holdings, LLC",233070,518
580610428636345,Fight for $15,Fight for $15,230903,500
17002121901,Lancôme,L OREAL USA,227462,4
100449462644726,The Real Richard Irvin,Democratic Governors Association,227147,6
143528022388140,The Allstate Foundation,The Allstate Foundation,223372,58
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,218632,189
110847698099863,Solarquote.org,"Lead Genesis, LLC",218519,143
105228065418497,The Main Street Sentinel,The Main Street Sentinel,216683,836
29727753421,New Jersey Education Association,NEW JERSEY EDUCATION ASSOCIATION,214874,21
20787991568,Senate Democrats,DSCC,212502,435
100485764982266,Only One,Only One,211389,199
104530258866956,Stop the Corporate Online Gambling Prop,"Coalition for Safe, Responsible Gaming, Sponsored by California Indian Tribes. Committee major funding from: Pechanga Band of Indians, Yocha Dehe Wintun Nation, Agua Caliente Band of Cahuilla Indians. Funding Details at www.fppc.ca.gov",210165,51
109097990639753,Advance Colorado Action,Advance Colorado Action,209755,148
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,208997,108
181888625087,Greg Abbott,Texans for Greg Abbott,208749,121
113553048669158,Rick Scott,RICK SCOTT FOR FLORIDA,208405,389
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,207261,1614
2353537341582545,Proud Patriots,Proud Patriots,206391,3581
10128918116,Gavin Newsom,NEWSOM FOR CALIFORNIA GOVERNOR 2022,206039,28
80562389320,NARAL Pro-Choice America,NARAL PRO-CHOICE AMERICA CORP,203853,83
195994800434559,San Manuel Band of Mission Indians,SAN MANUEL BAND OF MISSION INDIANS,203581,37
230201093693895,Betsy Johnson,Run Betsy Run,199637,1242
8492293163,Environmental Defense Fund,Environmental Defense Fund,195350,737
25852730092,Care2,"Care2.com, Inc",194043,1879
35541499994,Dr. Mehmet Oz,DOCTOR OZ FOR SENATE,192097,243
