Page ID,Page name,Disclaimer,Amount spent (USD)
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100
339681890055525,Mana Pacific,Mana Pacific,≤100
248986568895243,Speechify,These ads ran without a disclaimer,≤100
68793499001,UNICEF,UNICEF,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
719853864726295,Mindvalley,These ads ran without a disclaimer,≤100
565108056966122,Curiosity Stream,These ads ran without a disclaimer,≤100
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100
105123914950303,Ocean Sewage Alliance,These ads ran without a disclaimer,≤100
109787684975930,StoryLight,These ads ran without a disclaimer,≤100
102984172129568,Act As One,These ads ran without a disclaimer,≤100
154163327962392,World Health Organization (WHO),These ads ran without a disclaimer,≤100
153371894688575,World Bank,These ads ran without a disclaimer,≤100
102874232203527,New Page,These ads ran without a disclaimer,≤100
101455325840199,Alex Hudițan,These ads ran without a disclaimer,≤100
104338375596822,Благодійний фонд Клініки Святого Миколая,These ads ran without a disclaimer,≤100
102095752236053,Sports Fanatics,These ads ran without a disclaimer,≤100
101660089132919,Scanner,These ads ran without a disclaimer,≤100
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,UNICEF,≤100
359797371274275,Sugar - safe & fast-1,These ads ran without a disclaimer,≤100
1485702154856677,Super Crown - speed crush-4,These ads ran without a disclaimer,≤100
102481932371190,All Translator Pro for Android,These ads ran without a disclaimer,≤100
101319545125188,_salonsoulaiman,These ads ran without a disclaimer,≤100
106712808491049,Travelpedia,These ads ran without a disclaimer,≤100
344414872859730,Quotes by Christie,These ads ran without a disclaimer,≤100
1238173096287495,Azur Games,These ads ran without a disclaimer,≤100
100879388772087,LeReader,These ads ran without a disclaimer,≤100
100904849119969,DIY Solar Projects,These ads ran without a disclaimer,≤100
107939710945584,Jardín de Eventos Donají,These ads ran without a disclaimer,≤100
1459044004350649,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",These ads ran without a disclaimer,≤100
2079991985390610,Vusal abdullayev,These ads ran without a disclaimer,≤100
102924012333205,Thunder Tools for Android,These ads ran without a disclaimer,≤100
100710412444302,Antoinetton-US,These ads ran without a disclaimer,≤100
124252504303223,UNICEF (FR),UNICEF,≤100
638820659597919,Foire de Canton,These ads ran without a disclaimer,≤100
158714780827513,UNFPA,These ads ran without a disclaimer,≤100
145643245456953,Jack Hibbs,These ads ran without a disclaimer,≤100
292306430976006,Travel Funtu,These ads ran without a disclaimer,≤100
216311481960,Bill Gates,These ads ran without a disclaimer,≤100
2079497235397580,עופר גולדשטיין רואי חשבון - מיסוי בינלאומי,These ads ran without a disclaimer,≤100
107600958493138,Bobo wallpaper,These ads ran without a disclaimer,≤100
111361091313,NICABM,These ads ran without a disclaimer,≤100
342445689258739,MultiBank Group,These ads ran without a disclaimer,≤100
109662488246997,Explore Haikou,These ads ran without a disclaimer,≤100
101662255855383,Magicget-Sun,These ads ran without a disclaimer,≤100
508577582586422,AI Translator -Fast & Accurate-1,These ads ran without a disclaimer,≤100
106983891952270,Deep Wallpaper-wei316,These ads ran without a disclaimer,≤100
101103175209935,Cactus News,These ads ran without a disclaimer,≤100
70877580782,IFC - International Finance Corporation,These ads ran without a disclaimer,≤100
100763281990569,DYWA,These ads ran without a disclaimer,≤100
142288373333,HIMSS,These ads ran without a disclaimer,≤100
100551015904303,Behind the Lavalava,These ads ran without a disclaimer,≤100
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100
147075582050749,Pacific-Community-SPC,These ads ran without a disclaimer,≤100
100617599250020,XuQinduo,These ads ran without a disclaimer,≤100
101149931673756,Webfic new app,These ads ran without a disclaimer,≤100
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100
100851005361914,Populiist Online,These ads ran without a disclaimer,≤100
100949305633793,Silent_High Quality113-V,These ads ran without a disclaimer,≤100
1329741273707017,Creative Fabrica,These ads ran without a disclaimer,≤100
108507738437832,Pray for Ukraine,These ads ran without a disclaimer,≤100
