Page ID,Page name,Disclaimer,Amount spent (USD)
105355871121994,Indiana Unclaimed Property Division,"Office of the Indiana Attorney General, Unclaimed Property Division",72332
101828156534504,He Gets Us,He Gets Us LLC,69342
127225910653607,PragerU,PragerU,44765
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",32824
103739458754360,CNN+,"WarnerMedia, LLC",31901
100562019990818,U.S. Term Limits,U.S. Term Limits Inc.,29211
259036384293607,Eleven Fifty Academy,ELEVEN FIFTY LLC,27923
105298862074736,American Voice,American Voice,25717
284744734876627,Americans for Prosperity - Indiana,AMERICANS FOR PROSPERITY,24594
18982436812,ACLU,American Civil Liberties Union,21576
100776719189544,Tell Congress: Don't Let China Pull Ahead,Taxpayers Protection Alliance,21518
203805062990264,Ben Shapiro,The Daily Wire,20958
1435071773455316,Daily Wire,The Daily Wire,20774
108173075911611,National Association of Letter Carriers,National Association of Letter Carriers,20751
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,19552
40217893542,AIPAC,AIPAC,19406
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,19281
105096648830545,American Dream Federal Action,American Dream Federal Action. Not authorized by any candidate or candidate's committee.,18715
92925746942,Judicial Watch,Judicial Watch,16011
2210227865866860,Construction Industry Partnership,GROUP 7EVEN LLC,15722
157522514269835,Stand for Children - Indiana,STAND FOR CHILDREN INC,14980
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,14835
1593518174052711,Candace Owens,Daily Wire,14425
134498556891640,Val Demings,Val Demings for U.S. Senate,14310
108524420538011,Hoosiers for Renewables,Hoosiers for Renewables LLC,13520
106905051822287,Barb Regnitz for Porter County Commissioner,Barb Regnitz for Porter County Commissioner,13159
111986621480041,Hoosier Values,Hoosier Values,13081
109146528245603,Hoosier Housing Help,Indiana Office of Judicial Administration,12743
201470373308396,BMO Harris Bank,BMO Harris Bank,12720
385473284886474,Hillsdale College,Hillsdale College,12545
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,11881
699126490098852,Holli Sullivan,Committee to Elect Holli Sullivan,11635
100895465734387,Oorah PAC,OORAH! POLITICAL ACTION COMMITTEE,10492
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,10396
97279934919,bp America,BP CORPORATION NORTH AMERICA INC.,9949
108397065096333,Mike Sodrel,FRIENDS OF MIKE SODREL,9684
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",9625
27544763621,Prison Fellowship,Prison Fellowship,9583
256043277748645,NetChoice,NETCHOICE,9564
84177291169,"Dairy Farmers of America, Inc.",DAIRY FARMERS OF AMERICA INC,9555
208689875516,Indiana State Teachers Association,INDIANA STATE TEACHERS ASSOCIATION,9434
1457455907816634,Erin Houchin,Houchin for Congress,8987
114008535880,Foundation for Individual Rights in Education,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,8720
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,8700
100113849280049,Angela Grabovsky for Indiana's 7th,Angela Grabovsky,8587
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,8496
46093654473,National Republican Congressional Committee,NRCC,8221
109028667322397,John Jacob State Representative,John Jacob for State Representative,7819
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,7516
110022477032429,Admiral Mike Franken,"MICHAEL FRANKEN FOR IOWA, INC",7387
30914589895,The International Fellowship of Christians and Jews,INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS INC,7294
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,7225
570092813023833,Matt Walsh,The Daily Wire,7177
105954905213309,Beaver for Indiana State Senate District 23,Committee to Elect Christian Beaver,7104
152127834816814,Thomas McDermott Jr.,MCDERMOTT FOR INDIANA,6942
178051136001622,Representative Trey Hollingsworth,Office of Representative Trey Hollingsworth (IN-09),6885
100992801635617,Conservative-American.org,Conservative American Strategies,6871
106587615232833,Todd Connor for State Senate,Todd Connor for Indiana,6611
405355946226766,Todd Young,"FRIENDS OF TODD YOUNG, INC.",6500
9324910069,NRSC,NRSC,6468
160513344045084,John Neely Kennedy,"John Kennedy for Us, Inc",6356
42872222699,Dana Loesch,The Association of Mature American Citizens Inc,6288
109460040696770,Dan Leonard for State Representative,Committee to Elect Dan Leonard,6260
228754857151053,House Majority PAC,House Majority PAC,6260
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,6132
85337666730,Republican Governors Association (RGA),REPUBLICAN GOVERNORS ASSOCIATION,6085
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",6078
2353537341582545,Proud Patriots,Proud Patriots,6005
760702940696108,Bob Behning,the Committee to Elect Robert Behning,6000
140357056032320,NEA Today,National Education Association,5868
109396544993347,Save America,Future Tech Product,5800
113553048669158,Rick Scott,RICK SCOTT FOR FLORIDA,5676
17002121901,Lancôme,L OREAL USA,5629
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,5534
1669941646417657,Senior Choice Financial,Andrea Marroquin,5497
431891506856669,Dove,Unilever,5464
355281281152870,Martin Carbaugh State Representative District 81,VoteCarbaugh.com,5400
266572105200167,Advancing Americans Group,Advancing Americans Group,5362
11791104453,NRDC,Natural Resources Defense Council,5343
15771560300,Earthjustice,EARTHJUSTICE,5267
109137763868782,Ashley Eason for Indiana State Senate,EASON FOR INDIANA,5223
103565195134756,America First Policy Institute,America First Policy Institute,5221
