Page ID,Page name,Disclaimer,Amount spent (USD)
102558898865449,Don't Break What Works,COMPUTER & COMMUNICATIONS INDUSTRY ASSOCIATION,97854
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,45167
108824017345866,Meta,Facebook Inc.,39683
102245475209438,Green New Deal Network,Green New Deal Network,32463
189802494962693,Team Muriel DC,REELECT MURIEL BOWSER OUR MAYOR 2022,30652
77130778113,Coalition for Medicare Choices,The Coalition for Medicare Choices,29377
187005858017014,Climate Power,Climate Power,28971
56431624743,Ceres,Ceres,26361
253312980194,Community Catalyst,COMMUNITY CATALYST INC,25363
129942417030331,Mendelson For Chairman,Mendelson for Chairman 2022,24567
104471748684381,Robert White,Robert for DC,23651
32682889528,U.S. Chamber of Commerce,The U.S. Chamber of Commerce,22506
109736674813587,US MADE Coalition,"US Manufacturers Association for Development and Enterprise, Inc.",19673
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,19313
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",18615
101828156534504,He Gets Us,He Gets Us LLC,18019
18982436812,ACLU,American Civil Liberties Union,16753
138912859468156,Vet Voice Foundation,Vet Voice Foundation,16689
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,16323
112314627622757,Merchants Payments Coalition,"Merchants Payments Coalition, Inc.",14652
18765892269,Department of Energy & Environment,Department of Energy & Environment,13949
1725148701106705,AmeriHealth Caritas District of Columbia,ROIG Communications,13531
100801038449520,Natural Allies for a Clean Energy Future,"Natural Allies, Inc.",12506
105123022106977,Ben Bergmann for Ward 3,Ben for Ward 3,12313
104973821688428,American Accountability Foundation,American Accountability Foundation,10335
103739458754360,CNN+,"WarnerMedia, LLC",9473
72092591211,FBI – Federal Bureau of Investigation,Federal Bureau of Investigation,8985
100712889249331,Health Equity Coalition for Chronic Disease,Health Equity Coalition for Chronic Disease,8792
196191740408148,Association of Oil Pipe Lines (AOPL),Association of Oil Pipe Lines,8495
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,7965
134498556891640,Val Demings,Val Demings for U.S. Senate,7655
120945717945722,Uber,Uber,6957
97279934919,bp America,BP CORPORATION NORTH AMERICA INC.,6768
185886644779524,Public Service Commission of the District of Columbia,Public Service Commission of the District of Columbia,6499
104447088162443,Choose Healthy Life,Choose Healthy Life,6023
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,5942
106178071176467,Connect The Future,Connect the Future,5748
6012633110,Communications Workers of America,"COMMUNICATIONS WORKERS OF AMERICA, AFL-CIO, CLC",5671
109362125017984,Salah Czapary for Ward 1,Committee to Elect Salah V Czapary,5646
108774614054683,American Edge Project,American Edge,5529
130848666099,Business Forward,Business Forward Inc.,5009
6204742571,Sierra Club,SIERRA CLUB,4799
1681900485390993,Rebel HQ,These ads ran without a disclaimer,4582
206226362732803,Inspire Clean Energy,"Inspire Energy Holdings, LLC",4461
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,4456
345234251112,Judicial Crisis Network,Judicial Crisis Network,4436
356870917732380,Bradley Thomas for D.C. Council 2022,Bradley Thomas for DC Council 2022,4275
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,4089
209516845093,NRDC Action Fund,NRDC Action Fund,3931
1048486145183452,We Testify,We Testify,3919
8492293163,Environmental Defense Fund,Environmental Defense Fund,3881
533987556776948,Campaign for Sustainable Rx Pricing,Campaign for Sustainable Rx Pricing,3862
104290235384002,Generational Equity Movement,Generational Equity Movement,3704
77278490877,National Corn Growers Association,NATIONAL CORN GROWERS ASSOCIATION INC,3700
100776719189544,Tell Congress: Don't Let China Pull Ahead,Taxpayers Protection Alliance,3428
677005135756125,Community Catalyst Action Fund,Community Catalyst Action Fund,3399
455362921562545,American Exploration & Production Council,American Exploration & Production Council Inc,3331
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",3319
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,3249
29598233577,Land Trust Alliance,Land Trust Alliance,3179
18780321251,American Chemistry,American Chemistry Council,3134
127225910653607,PragerU,PragerU,3086
97586699504,Environmental Film Festival in the Nation's Capital,ENVIRONMENTAL FILM FESTIVAL IN THE NATIONS CAPITAL,2961
279602905840365,Bipartisan Policy Center Action,BPC Action,2908
793308154072008,The Market Institute,Market Institute,2858
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,2844
101695465478009,Mobile Voting,"TUSK STRATEGIES, INC.",2841
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,2770
105175422857231,Association of American Railroads,ASSOCIATION OF AMERICAN RAILROADS,2680
102679655687593,Tricia Duncan for Ward 3,Tricia Duncan for Ward 3 Council,2677
443512265715363,Management Leadership for Tomorrow,MANAGEMENT LEADERSHIP FOR TOMORROW,2530
101662321369876,WGL Energy,WGL Energy,2464
103331558424923,Invest in America,Economic Security Project Action Inc.,2351
54996531380,American Health Care Association/National Center for Assisted Living,American Health Care Association,2313
105880938523819,Erin Palmer for DC Council Chairwoman,Erin For DC,2287
106526752060819,2022 DC Debates,Bayne LLC,2264
103129358845477,Lisa Gore for DC Council At-Large,Friends of Lisa Gore,2229
110022477032429,Admiral Mike Franken,"MICHAEL FRANKEN FOR IOWA, INC",2182
40102638699,J Street,J STREET INC,2113
104544891560230,Prolegis,Prolegis LLC,2091
214821605377109,Stacey Abrams,Stacey Abrams for Governor,2046
95001097200,National Association of Manufacturers,NATIONAL ASSOCIATION OF MANUFACTURERS OF THE UNITED STATES OF AMERICA INC.,2044
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,2022
110684474130074,People for Opportunity,"People for Opportunity, Inc.",2002
294196590710262,FWD.us,FWD.us,1930
8127889355,Americans for Tax Reform,AMERICANS FOR TAX REFORM,1917
6334782252,Oceana,OCEANA,1879
299405436754707,FP1 Strategies,FP1 Strategies,1807
107213258483218,Brian Schwalb for DC,"Brian for DC, LLC",1799
107456714922179,Grid,Grid News,1775
159616034235,Walmart,WALMART INC.,1647
1125672234179669,PAVE,"PAVE, INC.",1626
313018228713458,Developers Alliance,Application Developers Alliance,1616
70995214846,Business Roundtable,Business Roundtable,1604
1338822066131069,Women's March,Women's March,1598
383677738397139,Association for Accessible Medicines,Association for Accessible Medicines,1575
215653202574079,Future Majority,"Future Majority, Inc",1564
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,1559
11791104453,NRDC,Natural Resources Defense Council,1530
224641374218252,American Road & Transportation Builders Association (ARTBA),AMERICAN ROAD & TRANSPORTATION BUILDERS ASSOCIATION,1526
118412872882643,Article III Project,Article III Project,1480
662962894077729,The Well News,The Well News,1441
