Location name,Amount spent (USD)
Alabama,72107
Alaska,6316
American Samoa,≤100
Arizona,63504
Arkansas,45551
California,415182
Colorado,25873
Connecticut,11437
Delaware,3571
Florida,84552
Georgia,223839
Guam,1470
Hawaii,5765
Idaho,6325
Illinois,91494
Indiana,19167
Iowa,23196
Kansas,10832
Kentucky,12846
Louisiana,21482
Maine,7998
Maryland,30196
Massachusetts,23983
Michigan,61015
Minnesota,26840
Mississippi,12864
Missouri,23279
Montana,7980
Nebraska,4554
Nevada,33438
New Hampshire,29437
New Jersey,35505
New Mexico,14412
New York,83862
North Carolina,43485
North Dakota,2610
Northern Mariana Islands,≤100
Ohio,47280
Oklahoma,16553
Oregon,22273
Pennsylvania,56550
Puerto Rico,563
Rhode Island,5029
South Carolina,17914
South Dakota,8207
Tennessee,20666
Texas,169123
Unknown,≤100
Utah,14143
Vermont,4092
Virgin Islands (U.S.),≤100
Virginia,31345
Washington,26476
"Washington, District of Columbia",14591
West Virginia,16902
Wisconsin,42432
Wyoming,4078
