Page ID,Page name,Disclaimer,Amount spent (USD)
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,≤100
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,≤100
570092813023833,Matt Walsh,The Daily Wire,≤100
127225910653607,PragerU,PragerU,≤100
106568024842114,Rideshare Assault Support,Select Justice LLC,≤100
110177119192569,Knightscope,"Knightscope, Inc.",≤100
112735922758892,Charlie Kirk,"ATK Media, Inc.",≤100
49651563727,Live Action,Live Action,≤100
279798632466565,Vivian Moreno,Vivian Moreno for City Council 2022,≤100
105793628612123,Alysse Castro for Alameda County Superintendent of Schools,"Alysse Castro for Alameda County Superintendent of Schools 2022, FPPC #1442206",≤100
894315020709961,CARE About Housing,"Coalition for Affordable, Reliable, and Equitable Housing",≤100
51379424899,Mercy Ships,MERCY SHIPS INTERNATIONAL,≤100
170126260000702,Western Journal US News,The Western Journal,≤100
146527778849265,Satra Zurita,"SATRA ZURITA FOR COMPTON SCHOOL BOARD 2022, ID# 1307267",≤100
309308412520731,Sandy Hook Promise,Sandy Hook Promise,≤100
103048587920360,DMFI PAC,DMFI PAC,≤100
609392489162556,Pat Bates,Pat Bates For Supervisor,≤100
114891551199746,Valley Power - Re-Elect Norma Sierra Galindo and Alex Cardenas to IID,San Diego-Imperial Counties Labor Council AFL-CIO,≤100
87186661244,Johns Hopkins Bloomberg School of Public Health,Johns Hopkins Bloomberg School of Public Health,≤100
50982313030,Food & Water Watch,Food & Water Watch,≤100
18982436812,ACLU,American Civil Liberties Union,≤100
305380096638473,Charles Booker,Booker for Kentucky,≤100
1949064322040283,Principles,"Principles, LLC",≤100
497348647140658,Point Source Youth,Point Source Youth,≤100
201248453800242,My Pay My Say,Mackinac Center for Public Policy,≤100
1775685499406954,Scott Baugh,Scott Baugh for Congress,≤100
122778111789893,Jon Wizard for Assembly,Wizard for Assembly 2022,≤100
30914589895,The International Fellowship of Christians and Jews,INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS INC,≤100
139766499461199,Tom Rice for Congress,TOM RICE FOR CONGRESS,≤100
102326269134643,Yes on H - Davis,Yes on Measure H,≤100
61504497057,Children's Hospital New Orleans,"LCMC HEALTH HOLDINGS, INC.",≤100
542678889114683,The Coca-Cola Company,The Coca-Cola Company,≤100
104760636770,Vera Institute of Justice,"VERA INSTITUTE OF JUSTICE, INC.",≤100
229756680374544,Poshmark,These ads ran without a disclaimer,≤100
101384961651764,Louisiana Policy Review,Louisiana Policy Review,≤100
1832744013698336,Mahogany Mommies,Mahogany Mommies,≤100
15771560300,Earthjustice,EARTHJUSTICE,≤100
239029093423,Dave Jones,Dave Jones for State Senate 2022,≤100
19972147679,SEIU,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),≤100
115379705206001,U.S. Department of Homeland Security Blue Campaign,U.S Department of Homeland Security Blue Campaign,≤100
187005858017014,Climate Power,Climate Power,≤100
40217893542,AIPAC,AIPAC,≤100
6514736316,Walden University,Walden University,≤100
114008535880,Foundation for Individual Rights in Education,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,≤100
106575778297762,Yvonne Yiu for State Controller,Yvonne Yiu for State Controller 2022,≤100
200925806590732,Square,These ads ran without a disclaimer,≤100
101770425734652,Merritt Hale,FRIENDS OF MERRITT HALE,≤100
202071006601223,GOOD PARTY,THE GOOD PARTY,≤100
102851832441142,Vote Schubert for Attorney General,Peace Officers Research Association of California (PORAC) Statewide Independent Expenditure Committee.,≤100
104888014891398,Alexi For Us,CITIZENS FOR GIANNOULIAS,≤100
109320440856128,Together Beat Hate,"Foundation to Combat Anti-Semitism, Inc.",≤100
83290028957,Care Net,CARE NET,≤100
105349565441069,Palo Alto Community & Business Alliance,Palo Alto Community & Business Alliance,≤100
60261764250,Childhelp,"CHILDHELP, INC.",≤100
406456986070332,Matt Gaetz,Friends of Matt Gaetz,≤100
109345948376680,Candice For Congress,CANDICE DEAL-BARTELL FOR CONGRESS,≤100
673117639774135,Gretchen Whitmer,Gretchen Whitmer for Governor,≤100
1593518174052711,Candace Owens,Daily Wire,≤100
1958912674200535,The Pour Over,Pour Over,≤100
243498882520314,FoodFinder,"FOODFINDER, INC.",≤100
376776419037747,Turning Point USA,"Turning Point USA, Inc.",≤100
1547129225594616,Rich Constantine for Supervisor,"Constantine for Supervisor 2022, FPPC# 1437833",≤100
487569614682924,CAPP USA,Yellow Line Productions LLC,≤100
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,≤100
2070944712939738,American Police Officers Alliance,American Police Officers Alliance,≤100
103531607822207,Noticias para Inmigrantes,"Wise Rock Media, PBC",≤100
1256218774533782,Braven Environmental,Braven Environmental,≤100
115050083954556,Faisal Gill for Los Angeles City Attorney,Faisal Gill for Los Angeles City Attorney,≤100
385473284886474,Hillsdale College,Hillsdale College,≤100
681626158940626,Mission Roll Call,Americas Warrior Partnership,≤100
121626482110,Operation Smile,OPERATION SMILE,≤100
807604399259676,Metropolitan St Louis Equal Housing and Opportunity Council,ST LOUIS METROPOLITAN EHOC,≤100
471928596287830,Brian Mast,Mast for Congress,≤100
203805062990264,Ben Shapiro,The Daily Wire,≤100
134498556891640,Val Demings,Val Demings for U.S. Senate,≤100
8325302025,Friends of the Earth U.S.,Friends of the Earth,≤100
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,≤100
107209354867129,Team Trimino,Anthony Trimino For Governor 2022,≤100
101967468288183,James Coleman for State Assembly,James Coleman for State Assembly 2022,≤100
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,≤100
102809281915285,Adam for Florida,Adam for Democracy,≤100
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,≤100
192591294101850,Factory Farming Awareness Coalition (FFAC),Factory Farming Awareness Coalition,≤100
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,≤100
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,≤100
141972426677848,Dr. Akilah Weber,Akilah Weber For State Assembly,≤100
110274428288444,Denis Bilodeau for Board of Equalization,Bilodeau for Board of Equalization,≤100
536446326706733,Penny Ronning for U.S. Congress,Penny Ronning For US Congress,≤100
107831749237075,EBONY,EBONY MEDIA GROUP,≤100
1639262936323284,Angelique Ashby for State Senate,Angelique Ashby for Senate 2022,≤100
27544763621,Prison Fellowship,Prison Fellowship,≤100
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,≤100
916367571769000,Dania Pointe,KIMCO REALTY CORPORATION,≤100
195994800434559,San Manuel Band of Mission Indians,SAN MANUEL BAND OF MISSION INDIANS,≤100
100531408739695,Shervin Aazami for Congress - CA32,SHERVIN AAZAMI FOR CONGRESS,≤100
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,≤100
92925746942,Judicial Watch,Judicial Watch,≤100
1435071773455316,Daily Wire,The Daily Wire,≤100
38882699096,Polaris,Polaris with Facebook Ad Credits,≤100
43287633515,Action for the Climate Emergency,Action for the Climate Emergency,≤100
21375324480,The Heritage Foundation,HERITAGE FOUNDATION (THE),≤100
221416561801,Thomas B. Fordham Institute,Thomas B. Fordham Institute,≤100
103355385129734,The Climate Pledge,The Climate Pledge,≤100
105398812059641,Koenig for Assembly,Committee to Elect Greg Koenig,≤100
108997885106909,Chip in America,Chip In America LLC,≤100
401583820566367,Asian American Advocacy Fund,ASIAN AMERICAN ADVOCACY FUND PAC,≤100
392148947525572,REVOLT,REVOLT Media & TV,≤100
330229664373687,Live to Give,"LV2GV, LLC",≤100
