Page ID,Page name,Disclaimer,Amount spent (USD)
104530258866956,Stop the Corporate Online Gambling Prop,"Coalition for Safe, Responsible Gaming, Sponsored by California Indian Tribes. Committee major funding from: Pechanga Band of Indians, Yocha Dehe Wintun Nation, Agua Caliente Band of Cahuilla Indians. Funding Details at www.fppc.ca.gov",29137
309308412520731,Sandy Hook Promise,Sandy Hook Promise,13118
238142787549374,Teddy Kapur,Teddy Kapur for City Attorney 2022,11543
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,9786
10128918116,Gavin Newsom,NEWSOM FOR CALIFORNIA GOVERNOR 2022,7791
8501031021,VoteVets.org,VOTEVETS,6386
100113545962506,Californians for Solutions to Homelessness and Mental Health Support,"Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies. Funding Details at www.fppc.ca.gov",5772
106575778297762,Yvonne Yiu for State Controller,Yvonne Yiu for State Controller 2022,5526
102851832441142,Vote Schubert for Attorney General,Peace Officers Research Association of California (PORAC) Statewide Independent Expenditure Committee.,4823
112383205925136,David Canepa,CANEPA FOR CONGRESS,4784
106953981943902,No on Ventura Measures A and B,"Stop Measures A & B – A Coalition of Working Families for Jobs and Energy Independence, Supported by Energy Producers. Committee major funding from Aera Energy and Chevron.",4474
100945992520958,Rick Caruso,"Rick Caruso for Mayor 2022, 101 The Grove Drive, Los Angeles. Additional information is available at ethics.lacity.org.",4436
170220197158805,Rob Bonta,ROB BONTA FOR CA ATTORNEY GENERAL 2022,4199
100722909218796,United Democracy Project,UNITED DEMOCRACY PROJECT,4064
9182608316,California Democratic Party,CALIFORNIA DEMOCRATIC PARTY,3792
108774614054683,American Edge Project,American Edge,3522
100945992520958,Rick Caruso,Rick Caruso for Mayor 2022,3462
113323914704854,Californians Supporting Rob Bonta for Attorney General 2022,ROB BONTA CALIFORNIANS SUPPORTING FOR ATTORNEY GENERAL 2022,3414
236369846383459,Congressional Black Caucus PAC,CONGRESSIONAL BLACK CAUCUS PAC,3313
123450447708791,Energy Upgrade California,California Public Utilities Commission,3158
113778833499506,California Labor and Business Alliance,California Labor and Business Alliance,3122
927610307291393,Georgette Gómez,Georgette Gomez for Assembly 2022 Special Election,3083
139655806061955,Doug Chaffee for O.C. Supervisor,Doug Chaffee for Orange County District 4 Supervisor 2022,2880
129731810448375,Center Forward,Center Forward,2838
106368917901920,Grow SF PAC,Coalition to Grow San Francisco - Grow SF PAC,2824
239029093423,Dave Jones,Dave Jones for State Senate 2022,2784
115050083954556,Faisal Gill for Los Angeles City Attorney,Faisal Gill for Los Angeles City Attorney,2777
2005593623024412,adidas,"ADIDAS AMERICA, INC.",2757
108887515128830,Communities United for Bass for L.A. Mayor 2022,Communities United for Bass for LA Mayor 2022,2753
12375354406,USO,United Service Organizations,2718
102696611873936,Baytieh for Judge,Baytieh for Judge,2534
138644937392,SEIU California,SEIU California,2507
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,2480
6236054211,Brady: United Against Gun Violence,Brady Campaign to Prevent Gun Violence,2416
590072277714798,Katrina Foley,Katrina Foley for Supervisor 2022,2351
51405613519,Focus on the Family,Focus on the Family,2285
570092813023833,Matt Walsh,The Daily Wire,2281
105793628612123,Alysse Castro for Alameda County Superintendent of Schools,"Alysse Castro for Alameda County Superintendent of Schools 2022, FPPC #1442206",2277
228754857151053,House Majority PAC,House Majority PAC,2222
166935370075867,Senator Brian Dahle,Brian Dahle for Governor 2022,2037
100577781332391,Steve Padilla,Steve Padilla for State Senate 2022,2031
104412595557198,Shawn Nelson for Judge 2022 ID #1382825,Shawn Nelson for Judge,1946
101006235920925,Paulette Chaffee for OC Board of Education,Paulette Chaffee for Orange County Board of Education Trustee Area 4 -2022,1923
486692914677381,Jeff Prang,Jeffrey Prang for Assessor 2022,1870
345649856136263,Matt Mahan for Mayor,Neighbors for Matt Mahan for Mayor 2022,1803
102740458802755,Dr. Kermit Jones for Congress,KERMIT JONES FOR CONGRESS,1801
223055747744143,Beto O'Rourke,Beto for Texas,1781
227778385157,L.A. County Registrar-Recorder,The Los Angeles County Registrar-Recorder/County Clerk,1770
109091404777130,Nick Melvoin for School Board,Nick Melvoin for School Board 2022,1719
118502801658228,Young Kim,Young Kim for Congress,1707
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,1689
1435071773455316,Daily Wire,The Daily Wire,1686
176036105183,Los Angeles County Democratic Party,Los Angeles County Democratic Central Committee,1683
57815146231,SEIU Local 1021,California Workers' Justice Coalition sponsored by Service Employees International Union Local 1021,1669
115366081170279,Los Angeles County Federation of Labor Council on Political Education,THE LOS ANGELES COUNTY FEDERATION OF LABOR COUNCIL ON POLITICAL EDUCATION,1643
103579495612303,Protect Tribal Gaming,CALIFORNIANS FOR TRIBAL SOVEREIGNTY  SPONSORED BY THE SAN MANUEL BAND,1610
108035061792878,No on H - Stop the Republican Con,Friends of Chesa Boudin Opposing the Recall,1596
134498556891640,Val Demings,Val Demings for U.S. Senate,1578
1935830523369920,Ricardo Lara,Ricardo Lara for Insurance Commissioner 2022,1574
120182227998993,UNITE HERE Local 11,UNITE HERE Local 11,1562
1812305765524944,Juan Carrillo,Juan Carrillo for Assembly 2022,1496
1992069420813302,Mayor Elizabeth Alcantar,Elizabeth Alcantar for Assembly 2022,1477
108617051499061,Ándale Qué Esperas,AltaMed Health Services,1476
197908256931216,Tim Ryan,TIM RYAN FOR OHIO,1452
104979925498254,Vote Yes on D - San Franciscans for Victims' Rights,San Franciscans for Victims’ Rights Supporting Prop D,1450
100657592238049,Gil Cedillo For City Council,Cedillo for City Council 2022,1427
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",1416
106568024842114,Rideshare Assault Support,Select Justice LLC,1415
102125428338034,Business Leaders for Ethical Government,Business Leaders for Ethical Government PAC,1413
103373519004702,Environmental Solutions Coalition,Environmental Solutions Coalition,1406
104151054899518,ACLU California Action,ACLU California Action,1398
195564470605699,Mayor Yxstian Gutierrez,Gutierrez for Supervisor 2022,1393
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,1386
107209354867129,Team Trimino,Anthony Trimino For Governor 2022,1374
428821014132730,Katie Porter,Katie Porter For Congress,1370
112403314672513,Jose Ramirez,Ramirez for Supervisor 2022,1343
108147600393,Equality California,Equality California Political Action Committee,1336
372922692828,SEIU-United Healthcare Workers West,SEIU United Healthcare Workers West Local 2005,1278
123755994361809,Alliance San Diego,Equality Alliance of San Diego County,1261
109092142462587,Adam Schiff,SCHIFF FOR CONGRESS,1240
18982436812,ACLU,American Civil Liberties Union,1237
105173874400840,Vicente Sarmiento,Sarmiento for Supervisor 2022,1225
217148021811490,Tom Lackey,Lackey for Assembly 2022,1184
340645001925,San Diego County Democratic Party,San Diego County Democratic Party,1141
