Page ID,Page name,Disclaimer,Amount spent (USD)
302182941354,AARP Advocates,AARP,7663
102558898865449,Don't Break What Works,COMPUTER & COMMUNICATIONS INDUSTRY ASSOCIATION,5663
103890201865069,Joe Lombardo for Governor,Lombardo for Governor,3016
933921763326425,Catherine Cortez Masto,CATHERINE CORTEZ-MASTO FOR SENATE,2778
101352851565699,Somos PAC,SomosPAC,1809
107483817554072,WorkMoney,WorkMoney,1377
112090581475514,Nevada Rising,Nevada Rising PAC,1302
101135185691743,John Miller for Lt. Governor,John Miller for Nevada,1095
101893089184653,Opportunity for All Action Fund,Opportunity for All Action Fund,1074
1755022754558753,Strong Public Schools Nevada,Strong Public Schools Nevada,1047
242078112950301,Amy Vilela,AMY VILELA FOR CONGRESS,785
1757199317908227,Michelle Romero,Committee to Elect Michelle Romero For Henderson Mayor,729
112295351363751,Stavros Anthony for Nevada Lieutenant Governor,Anthony for Lieutenant Governor,679
101513908193475,Manny Kess,Manny For Nevada,594
309308412520731,Sandy Hook Promise,Sandy Hook Promise,576
115379705206001,U.S. Department of Homeland Security Blue Campaign,U.S Department of Homeland Security Blue Campaign,570
334189594015814,Gerard Ramalho,Gerard for Nevada,501
105576028300637,Building Back Together,Building Back Together,477
103940628403584,Robertson For Congress,ROBERTSON FOR CONGRESS,476
55549065733,Voto Latino,VOTO LATINO INC.,430
104959145204140,Kevin McMahill,Committee to Elect Kevin McMahill,416
102617169123217,Texas Sam Brown,LAXALT FOR SENATE,415
362556243875747,Dan Schwartz,Committee to Elect Dan Schwartz,412
494652440603150,Battle Born Progress,BATTLE BORN PROGRESS,368
100395629303401,Jacob Williams for Nevada,Jacob Williams for Nevada,355
36121436037,ACLU of Nevada,American Civil Liberties Union of Nevada,350
570092813023833,Matt Walsh,The Daily Wire,337
133588700844967,Nevada Conservation Political Action,Nevada Conservation League,332
12375354406,USO,United Service Organizations,320
148455980676060,Guy Nohra,Nohra for Nevada,286
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,282
1435071773455316,Daily Wire,The Daily Wire,271
109289224581983,Vote 4 Trish Nash,Friends of Trish Nash,250
6204742571,Sierra Club,SIERRA CLUB,245
101946902389046,"Nadia Wood for Las Vegas Justice Court Judge, Dept. 16",Committee to Elect Nadia Wood,236
1036257946417771,Angie Taylor for Assembly 27,Friends of Angie,231
104067111877737,Noah V Malgeri for Congress,NOAH FOR NEVADA,226
2005593623024412,adidas,"ADIDAS AMERICA, INC.",212
284561131891923,Skip Daly,Daly For Senate District 13,206
283008330170927,Jay Dixon for Assembly,Committee to Elect Jay Dixon,201
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,197
499361830539556,Nevada Values PAC,Nevada Values PAC,197
51405613519,Focus on the Family,Focus on the Family,178
112012311264649,"Max Berkley for Las Vegas Justice Court Judge, Dept. 7",Committee to Elect Max Berkley for Judge,174
100907339194401,David Brog for Congress,BROG FOR NEVADA,170
101381615781738,Friends of Toby Yurek,Friends of Toby Yurek,156
19554217292,American Heart Association: You're the Cure,American Heart Association,145
138920486202280,VOTE411,League of Women Voters Education Fund,143
104419475285342,Common Sense Leadership Fund,Common Sense Leadership Fund Inc.,141
276031029201666,Eddie Lorton,George Edward Lorton,138
600311460013571,RON Q. for Assembly 21,Committee to Elect Ron Q. Quilang,132
110969071390455,Committee to Elect Ray Spencer,Committee to Elect Ray Spencer,128
756834891348733,Assemblyman Gregory T. Hafen II,Friends of Gregory T Hafen II,122
1445462329016059,Adam Laxalt,LAXALT FOR SENATE,120
203805062990264,Ben Shapiro,The Daily Wire,113
104392445507106,Friends of Brian Hibbetts,Friends of Brian Hibbetts,112
144493206227059,Kali Fox Miller,Elect Kali Fox Miller,111
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,108
18982436812,ACLU,American Civil Liberties Union,105
1593518174052711,Candace Owens,Daily Wire,103
311134189218940,For Our Future Nevada,For Our Future Action Fund,≤100
100264919160695,"Bob Beers for Las Vegas City Council, Ward 4",Committee to Elect Bob Beers,≤100
176018934513350,Dan Lier for Nevada Assembly,Friends of Dan Lier,≤100
103175021296846,Save Our Planet,Sahak Nalbandyan,≤100
632176236951077,Alliance for Justice Action Campaign,Alliance for Justice Action Campaign,≤100
6236054211,Brady: United Against Gun Violence,Brady Campaign to Prevent Gun Violence,≤100
27544763621,Prison Fellowship,Prison Fellowship,≤100
105349688713999,Al4NV,Al4NV,≤100
1705053933095846,Tom Heck for Governor,Thomas Stuart Heck,≤100
208878709520452,Scott Black,Committee to Elect Scott Black,≤100
108380923919757,Health Insurance Hero,Health Insurance Hero,≤100
87186661244,Johns Hopkins Bloomberg School of Public Health,Johns Hopkins Bloomberg School of Public Health,≤100
101145015868440,"Jeanine Dakduk for Regent, District 6",Jeanine Marie Dakduk,≤100
473191156175163,EDF Action,Environmental Defense Action Fund,≤100
1628686684060214,Ozzie Fumo,Committee To Elect Ozzie Fumo,≤100
223055747744143,Beto O'Rourke,Beto for Texas,≤100
100873345721826,Francis Allen-Palenske,Committee to Elect Francis Allen Palenske,≤100
100100492343445,Gilbert for Governor,Gilbert for Governor,≤100
100186405921691,Tatro for Nevada,Tatro for Nevada,≤100
228754857151053,House Majority PAC,House Majority PAC,≤100
215830238462422,The LIBRE Initiative,The Libre Initiative,≤100
1859543897598563,Debra March,Friends of Debra March,≤100
116020488347,Nevada Conservation League,Nevada Conservation Leadership Political Action Committee,≤100
197908256931216,Tim Ryan,TIM RYAN FOR OHIO,≤100
101502899068533,Nancy Brune for Las Vegas City Council,Committee to Elect Nancy Brune,≤100
134498556891640,Val Demings,Val Demings for U.S. Senate,≤100
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,≤100
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,≤100
101423452474516,"Augusta Massey For Las Vegas Justice Court Judge, Dept. 6",Committee to Elect Augusta Massey,≤100
101005725901322,Operation Sunlight,Operation Sunlight,≤100
172633000123915,Aaron Manfredi For University Regent-District 8,Friends to Elect Aaron Manfredi,≤100
344922595928573,Steve Wolfson District Attorney,Steve Wolfson for District Attorney,≤100
114008535880,Foundation for Individual Rights in Education,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,≤100
127225910653607,PragerU,PragerU,≤100
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC",≤100
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",≤100
140499052681592,Bank of the West,BANK OF THE WEST,≤100
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",≤100
274122984393246,Americans For Hope And Progress,Americans For Hope And Progress,≤100
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",≤100
367817215859,Annie Black,ANN BLACK-GUEDRY,≤100
100408795959699,"Amy Wilson for Las Vegas Justice Court, Department 7",Committee To Elect Amy Wilson,≤100
104916795547789,"Aury Nagy, MD - Candidate for NV Board of Regents, District 7 Seat C",Nagy for Regent,≤100
969264936445051,Nevada Veterans In Politics,"Veterans In Politics International, Inc.",≤100
