Page ID,Page name,Disclaimer,Amount spent (USD)
319765995532065,Julio Geigel Alcalde Humacao 2022,Geigel Santiago Julio Omar,≤100
100954334587083,Alejandro Martínez Alcalde Humacao 2022,Karol Enid Carrasquillo Rodriguez,≤100
1710579622504488,Centro Crece,Ianice Viel Santiago,≤100
186977768011413,Ironworkers Rising,"International Association of Bridge, Structural, Ornamental, and Reinforcing Iron Workers",≤100
101660089132919,Scanner,These ads ran without a disclaimer,≤100
100814695962069,CPA Ricardo Guzmán Presidente Electo CCPA 2022,Ricardo Guzmán,≤100
421836407865197,Quiebras Lirio Torres Justiniano,Lirio Del Mar Torres Justiniano,≤100
100461704650569,Jevas Combativas,"The Olan Group, LLC",≤100
349702751902673,Hereditary Angioedema Association - HAEA,HEREDITARY ANGIOEDEMA ASSOCIATION INC.,≤100
157354480893,Municipio Autónomo de Caguas,Municipio Autónomo de Caguas,≤100
1238173096287495,Azur Games,These ads ran without a disclaimer,≤100
324828494307293,Jorge J. González 2024,Jorge J. González,≤100
104760636770,Vera Institute of Justice,"VERA INSTITUTE OF JUSTICE, INC.",≤100
102256345834907,Sosoo wallpaper-zw 5.19,These ads ran without a disclaimer,≤100
101273052564906,Tibok nobela,These ads ran without a disclaimer,≤100
100936629310525,Enhebrar las cuentas: antologia de escritos sobre Puerto Rico,These ads ran without a disclaimer,≤100
213203182869105,Mafia City,These ads ran without a disclaimer,≤100
102577309141850,Scanner-zm-01,These ads ran without a disclaimer,≤100
