Page ID,Page name,Disclaimer,Amount spent (USD)
309308412520731,Sandy Hook Promise,Sandy Hook Promise,2719
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,2186
12375354406,USO,United Service Organizations,836
570092813023833,Matt Walsh,The Daily Wire,832
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,762
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,590
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,543
101181584780300,Law Enforcement For A Safer America PAC,Law Enforcement for a Safer America PAC,528
1435071773455316,Daily Wire,The Daily Wire,522
51405613519,Focus on the Family,Focus on the Family,514
197374340229,E2 - Environmental Entrepreneurs,E2 (Environmental Entrepreneurs),488
2005593623024412,adidas,"ADIDAS AMERICA, INC.",476
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",462
449133900028,Eileen Filler-Corn,and authorized by Energized for Change PAC. Authorized by Eileen Filler-Corn.,368
6236054211,Brady: United Against Gun Violence,Brady Campaign to Prevent Gun Violence,365
18982436812,ACLU,American Civil Liberties Union,355
87186661244,Johns Hopkins Bloomberg School of Public Health,Johns Hopkins Bloomberg School of Public Health,354
101612732289917,Virginians for Offshore Wind,Virginians for Offshore Wind,350
101688132305156,Derrick Anderson for VA,Derrick Anderson for VA,318
203805062990264,Ben Shapiro,The Daily Wire,311
1593518174052711,Candace Owens,Daily Wire,278
279602905840365,Bipartisan Policy Center Action,BPC Action,270
8127889355,Americans for Tax Reform,AMERICANS FOR TAX REFORM,262
27544763621,Prison Fellowship,Prison Fellowship,258
109681685006865,Affordable Health Savings,Braintrust Interactive,253
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",239
246436435527378,Virginia Department of Health,These ads ran without a disclaimer,237
197908256931216,Tim Ryan,TIM RYAN FOR OHIO,232
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,231
620882164603697,Cover Virginia,Virginia Department of Medical Assistance Services,229
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",209
109697841684769,Virginia Buzz,SPANBERGER FOR CONGRESS,195
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,195
106470774923973,Nomi Health,"Nomi Health, Inc.",195
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",193
114751216955649,Healthcare Equality Network,Healthcare Equality Network,192
121268821249550,World Central Kitchen,World Central Kitchen,188
1669941646417657,Senior Choice Financial,Andrea Marroquin,185
134498556891640,Val Demings,Val Demings for U.S. Senate,183
187741797907314,The American Society of Anesthesiologists (ASA),"AMERICAN SOCIETY OF ANESTHESIOLOGISTS, INC., THE",174
223055747744143,Beto O'Rourke,Beto for Texas,172
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,169
138920486202280,VOTE411,League of Women Voters Education Fund,167
400505623360875,SEIU Virginia 512,SEIU Virginia 512,167
59826489083,SELC,SOUTHERN ENVIRONMENTAL LAW CENTER,165
108774614054683,American Edge Project,American Edge,164
105175422857231,Association of American Railroads,ASSOCIATION OF AMERICAN RAILROADS,162
127225910653607,PragerU,PragerU,162
18983389920,Open Society Foundations,Open Society Foundations,161
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,157
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC",152
1600352356914768,PushBlack,PushBlack,149
108380923919757,Health Insurance Hero,Health Insurance Hero,149
928091877203916,Independent Women's Network,Independent Women's Network,145
228754857151053,House Majority PAC,House Majority PAC,144
110022477032429,Admiral Mike Franken,"MICHAEL FRANKEN FOR IOWA, INC",136
274122984393246,Americans For Hope And Progress,Americans For Hope And Progress,133
40217893542,AIPAC,AIPAC,125
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,124
114008535880,Foundation for Individual Rights in Education,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,118
702582586516561,CBN Israel,"The Christian Broadcasting Network, Inc.",113
6514736316,Walden University,Walden University,113
48631937877,Ben Cline,"BEN CLINE FOR CONGRESS, INC.",113
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,112
92925746942,Judicial Watch,Judicial Watch,110
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,109
113553048669158,Rick Scott,RICK SCOTT FOR FLORIDA,105
