Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,1585113,1594
101828156534504,He Gets Us,He Gets Us LLC,983154,765
102558898865449,Don't Break What Works,COMPUTER & COMMUNICATIONS INDUSTRY ASSOCIATION,894552,318
87186661244,Johns Hopkins Bloomberg School of Public Health,Johns Hopkins Bloomberg School of Public Health,813164,159
134498556891640,Val Demings,Val Demings for U.S. Senate,803990,466
127225910653607,PragerU,PragerU,656488,965
107483817554072,WorkMoney,WorkMoney,552278,251
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,476197,313
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",460045,251
100776719189544,Tell Congress: Don't Let China Pull Ahead,Taxpayers Protection Alliance,453078,481
18982436812,ACLU,American Civil Liberties Union,443704,683
1470540296409810,Fair Fight Action,FAIR FIGHT,433497,51
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,409767,359
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,401216,887
203805062990264,Ben Shapiro,The Daily Wire,382071,133
108774614054683,American Edge Project,American Edge,381552,221
123450447708791,Energy Upgrade California,California Public Utilities Commission,378861,160
143055773143383,Patients For Affordable Drugs NOW,Patients for Affordable Drugs Now,359168,132
100722909218796,United Democracy Project,UNITED DEMOCRACY PROJECT,356250,68
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,347238,388
105783027731211,A Better Arizona,Priorities USA and Majority Forward,325403,116
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",298515,167
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",297126,139
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",293296,152
103714308898952,Protect Our Future PAC,Protect Our Future PAC,275855,159
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,262040,138
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,259095,1038
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,248853,172
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,244277,190
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,240418,40
27544763621,Prison Fellowship,Prison Fellowship,237772,331
104168485489436,Irvin/Bourne For Illinois,Irvin for Illinois,232226,237
107005161695319,Herschel Walker,"TEAM HERSCHEL, INC.",226102,312
1632814840319802,John Fetterman,Fetterman for PA,222497,1072
1338822066131069,Women's March,Women's March,220422,473
140357056032320,NEA Today,National Education Association,220033,105
40217893542,AIPAC,AIPAC,219081,330
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,218632,189
110022477032429,Admiral Mike Franken,"MICHAEL FRANKEN FOR IOWA, INC",214710,451
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,212262,346
108617051499061,Ándale Qué Esperas,AltaMed Health Services,209101,106
197908256931216,Tim Ryan,TIM RYAN FOR OHIO,208691,600
100113545962506,Californians for Solutions to Homelessness and Mental Health Support,"Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies. Funding Details at www.fppc.ca.gov",201727,7
228754857151053,House Majority PAC,House Majority PAC,201246,71
11791104453,NRDC,Natural Resources Defense Council,196878,706
92925746942,Judicial Watch,Judicial Watch,196011,251
230201093693895,Betsy Johnson,Run Betsy Run,195946,1242
106568024842114,Rideshare Assault Support,Select Justice LLC,193416,11
385473284886474,Hillsdale College,Hillsdale College,193361,100
256043277748645,NetChoice,NETCHOICE,189218,266
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,188607,244
223055747744143,Beto O'Rourke,Beto for Texas,184347,1283
1593518174052711,Candace Owens,Daily Wire,180534,53
214821605377109,Stacey Abrams,Stacey Abrams for Governor,176880,1053
100449462644726,The Real Richard Irvin,Democratic Governors Association,175597,6
104530258866956,Stop the Corporate Online Gambling Prop,"Coalition for Safe, Responsible Gaming, Sponsored by California Indian Tribes. Committee major funding from: Pechanga Band of Indians, Yocha Dehe Wintun Nation, Agua Caliente Band of Cahuilla Indians. Funding Details at www.fppc.ca.gov",174378,21
80562389320,NARAL Pro-Choice America,NARAL PRO-CHOICE AMERICA CORP,172311,43
156994304362574,American Bridge 21st Century,AMERICAN BRIDGE 21ST CENTURY,170482,134
10128918116,Gavin Newsom,NEWSOM FOR CALIFORNIA GOVERNOR 2022,165418,11
441242156439675,Jessica Cisneros,Jessica Cisneros for Congress,162486,263
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",161199,123
25852730092,Care2,"Care2.com, Inc",159391,1498
19972147679,SEIU,SEIU,158947,76
85337666730,Republican Governors Association (RGA),REPUBLICAN GOVERNORS ASSOCIATION,152296,54
215653202574079,Future Majority,"Future Majority, Inc",150356,27
15771560300,Earthjustice,EARTHJUSTICE,148009,321
87023326103,Kathy Hochul,Friends for Kathy Hochul,147732,289
1615615415135060,Brad Raffensperger,"Brad for Georgia SOS, Inc.",147645,79
206226362732803,Inspire Clean Energy,"Inspire Energy Holdings, LLC",144410,301
20531316728,Facebook App,"Facebook, Inc.",137375,1
97279934919,bp America,BP CORPORATION NORTH AMERICA INC.,135410,21
110847698099863,Solarquote.org,"Lead Genesis, LLC",134527,64
105576028300637,Building Back Together,Building Back Together,131705,360
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,129911,99
109097990639753,Advance Colorado Action,Advance Colorado Action,129764,108
1435071773455316,Daily Wire,The Daily Wire,129086,170
112258312240526,Con Edison,"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",126988,10
579945178720985,Cheri Beasley,CHERI BEASLEY FOR NORTH CAROLINA,125252,142
428821014132730,Katie Porter,Katie Porter For Congress,124356,677
121268821249550,World Central Kitchen,WORLD CENTRAL KITCHEN INC,123092,10
105308481683326,Nathan Hochman for Attorney General 2022,Nathan Hochman For Attorney General 2022,118879,171
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,118210,108
238142787549374,Teddy Kapur,Teddy Kapur for City Attorney 2022,113735,14
114008535880,Foundation for Individual Rights in Education,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,112097,70
1669941646417657,Senior Choice Financial,Andrea Marroquin,111548,442
100945992520958,Rick Caruso,Rick Caruso for Mayor 2022,108735,10
100289605857598,United Solutions,United Solutions,106922,1854
113553048669158,Rick Scott,RICK SCOTT FOR FLORIDA,106447,381
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,104990,259
209516845093,NRDC Action Fund,NRDC Action Fund,104974,81
103539998955496,Arkansas Tourism Alliance,Arkansas Tourism Alliance,104440,122
103048587920360,DMFI PAC,DMFI PAC,104155,14
106559638427204,Tina Kotek for Oregon,Friends of Tina Kotek,103324,121
2602473023098666,Democratic Polling Center,Democratic Governors Association,101995,80
29727753421,New Jersey Education Association,NEW JERSEY EDUCATION ASSOCIATION,101435,16
2353537341582545,Proud Patriots,Proud Patriots,97304,1271
6514736316,Walden University,Walden University,97024,6
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,96831,601
110746996993983,The 'Gander Newsroom,"Courier Newsroom, Inc.",95961,146
106953981943902,No on Ventura Measures A and B,"Stop Measures A & B – A Coalition of Working Families for Jobs and Energy Independence, Supported by Energy Producers. Committee major funding from Aera Energy and Chevron.",94956,89
9062006483,REI,"RECREATIONAL EQUIPMENT, INC.",93000,15
103890201865069,Joe Lombardo for Governor,Lombardo for Governor,92032,30
309308412520731,Sandy Hook Promise,Sandy Hook Promise,90815,169
30914589895,The International Fellowship of Christians and Jews,INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS INC,90058,130
105096648830545,American Dream Federal Action,American Dream Federal Action. Not authorized by any candidate or candidate's committee.,89752,108
1470540296409810,Fair Fight Action,"Fair Fight Action, Inc.",87858,30
118714808054,Mi Familia Vota,Mi Familia Vota,86989,10
109530971386075,Georgians First Leadership Committee,Georgians First Leadership Committee,86601,31
100992801635617,Conservative-American.org,Conservative American Strategies,86492,14
344690446467832,The Copper Courier,"Courier Newsroom, Inc.",86200,153
570092813023833,Matt Walsh,The Daily Wire,84999,72
20787991568,Senate Democrats,DSCC,84734,238
168496243781414,Mayor Giselle Hale,Giselle Hale for Assembly 2022,82931,50
580610428636345,Fight for $15,Fight for $15,82553,199
140499052681592,Bank of the West,BANK OF THE WEST,81240,46
106667474170866,A Better Wisconsin Together,"A Better Wisconsin Together, Inc.",81161,223
109520054693011,Trump Updates,Save America Joint Fundraising Committee,79085,555
110666905614083,Dial,HENKEL CORP,78804,3
110647840532680,Merge Mayor,These ads ran without a disclaimer,78318,4
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,78277,12
201248453800242,My Pay My Say,Mackinac Center for Public Policy,76734,45
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,76667,648
42872222699,Dana Loesch,The Association of Mature American Citizens Inc,76471,25
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,76459,204
25121889784,Texas Public Policy Foundation,Texas Public Policy Foundation,74884,246
160513344045084,John Neely Kennedy,"John Kennedy for Us, Inc",74654,45
108887515128830,Communities United for Bass for L.A. Mayor 2022,Communities United for Bass for LA Mayor 2022,74157,42
109513048125218,Ohioans for Free and Fair Elections,Ohioans for Free and Fair Elections,73763,9
103552914774916,Science Moms,Potential Energy Coalition Inc,71564,128
8492293163,Environmental Defense Fund,Environmental Defense Fund,71229,320
84177291169,"Dairy Farmers of America, Inc.",DAIRY FARMERS OF AMERICA INC,71002,32
46743242445,Green Mountain Energy Company,Green Mountain Energy,70674,31
1456310534453054,Veteran Loans Online,"LMB OpCo, LLC",70179,44
17432811417,Working Families Party,Working Families Party National Political Action Committee,67162,71
7341997111,Conservation International,Conservation International,66970,151
104973821688428,American Accountability Foundation,American Accountability Foundation,66630,34
107535171931690,Tim Michels,"Michels for Governor, Inc",66303,227
376776419037747,Turning Point USA,"Turning Point USA, Inc.",66027,69
101403132275465,Bill McSwain,McSwain for Governor,64354,21
104760636770,Vera Institute of Justice,"VERA INSTITUTE OF JUSTICE, INC.",64272,22
6580173137,Alan Grayson,COMMITTEE TO ELECT ALAN GRAYSON,62749,85
157448993073554,Jesse Sullivan,Sullivan for Illinois,62236,337
196395247518,Ned Lamont,NED FOR CT,61891,139
1023516414456183,Drain the DC Swamp PAC,DRAIN THE DC SWAMP PAC,61286,32
1509209726034350,Iowa Starting Line,"Courier Newsroom, Inc.",61176,68
102613481937797,Jim Pillen,Jim Pillen for Governor,61070,45
100741402225790,Quaye Quartey for Congress,QUARTEY FOR CONGRESS,60760,47
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,60368,337
195994800434559,San Manuel Band of Mission Indians,SAN MANUEL BAND OF MISSION INDIANS,60331,18
103500498972642,Insider,These ads ran without a disclaimer,60182,4
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,58969,15
106575778297762,Yvonne Yiu for State Controller,Yvonne Yiu for State Controller 2022,58520,54
103565195134756,America First Policy Institute,America First Policy Institute,58250,31
1600352356914768,PushBlack,PushBlack,58239,92
114720264544782,Moving Forward,Seniors Today USA,57601,218
73528878871,Center for Reproductive Rights,Center for Reproductive Rights,57600,90
201470373308396,BMO Harris Bank,BMO Harris Bank,57577,18
320509205167290,Illinois Daily,JB for Governor,57529,76
108224508443005,Wisconsin Forward,MAJORITY FORWARD,57250,6
51405613519,Focus on the Family,Focus on the Family,56450,299
1934158976830122,Sean Casten for Congress,CASTEN FOR CONGRESS,55739,42
108715768240523,Citizens Bulletin,House Majority Forward,55603,44
111393882812494,Amy McGrath,The American SOS Project,55398,198
100945992520958,Rick Caruso,"Rick Caruso for Mayor 2022, 101 The Grove Drive, Los Angeles. Additional information is available at ethics.lacity.org.",54505,7
169597416843751,Stand Up America,Stand Up America,54478,54
305380096638473,Charles Booker,Booker for Kentucky,54351,255
203998970095991,David Blair,David Blair for Montgomery,53705,51
158791100909689,Concerned Veterans for America,Concerned Veterans for America,53334,49
700806360047982,CFG Action,Club for Growth Action,52782,145
7192716362,Amnesty International USA,"AMNESTY INTERNATIONAL OF THE U. S. A., INC.",52706,384
49651563727,Live Action,Live Action,52503,416
53178635562,Third Way,THIRD WAY,52457,16
35169196082,Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",52247,374
1483977658578577,Jasmine Beach-Ferrara,JASMINE BEACH-FERRARA FOR CONGRESS,52200,140
114710126648118,Republican Dogs,Republican Dogs,52068,672
32682889528,U.S. Chamber of Commerce,The U.S. Chamber of Commerce,51458,138
112936891157255,Joe O'Dea for Colorado,JOE O'DEA FOR SENATE,51267,11
533987556776948,Campaign for Sustainable Rx Pricing,Campaign for Sustainable Rx Pricing,51251,99
12375354406,USO,United Service Organizations,51217,375
187005858017014,Climate Power,Climate Power,50990,16
679171239164792,Supermajority,Supermajority,50944,82
585942765164217,Elect Democratic Women,ELECT DEMOCRATIC WOMEN,50762,56
443329669123990,USAFacts,USAFacts Institute,50539,117
367292494407,AJC - American Jewish Committee,AMERICAN JEWISH COMMITTEE,49667,84
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,49562,29
239029093423,Dave Jones,Dave Jones for State Senate 2022,49346,20
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC",49339,186
109396544993347,Save America,Future Tech Product,49298,242
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,48953,9
673117639774135,Gretchen Whitmer,Gretchen Whitmer for Governor,48902,62
174754989846475,NewDem Action Fund,New Democrat Coalition Action Fund,48886,12
100852874648291,Mighty Michigan,American Culture,48846,23
372922692828,SEIU-United Healthcare Workers West,SEIU United Healthcare Workers West Local 2005,48595,227
6204742571,Sierra Club,SIERRA CLUB,48462,180
103923401851535,USA Freedom Fund,USA FREEDOM FUND,48361,22
22067606728,Allen West,The Association of Mature American Citizens Inc,48129,8
72931140459,Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",47970,33
104736168071731,Results For NC,"Results for NC, Inc.",47941,18
109932934853609,Yes For Massachusetts Drivers,Flexibility and Benefits for Massachusetts Drivers,47903,18
